frame,time_s,target_x,target_jump_px,steering,throttle_preview,control_state,lane_confident,obstacle,decision,case,latency_ms
0,0.000,97,0,-0.21027,0.00800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,446.728
1,0.033,99,2,-0.17692,0.01600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.895
2,0.067,101,2,-0.14893,0.02400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.233
3,0.100,104,3,-0.11506,0.03200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.884
4,0.134,107,3,-0.07986,0.04000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,62.780
5,0.167,110,3,-0.02785,0.04800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.807
6,0.200,112,2,-0.01170,0.05600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.956
7,0.234,115,3,-0.00491,0.06400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.294
8,0.267,117,2,0.03859,0.07200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.145
9,0.301,120,3,0.07555,0.08000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.590
10,0.334,122,2,0.10392,0.08800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.542
11,0.367,124,2,0.12982,0.09600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.647
12,0.401,126,2,0.15468,0.09000,slow:obstacle,1,1,follow:centerline,centerline:locked|follow:centerline,52.833
13,0.434,127,1,0.17097,0.09800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.841
14,0.468,127,0,0.17667,0.09000,slow:obstacle,1,1,follow:centerline,centerline:history|follow:centerline,44.026
15,0.501,127,0,0.17907,0.09800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.659
16,0.534,126,1,0.17194,0.09000,slow:obstacle,1,1,follow:centerline,centerline:locked|follow:centerline,49.820
17,0.568,126,0,0.17009,0.09000,slow:obstacle,1,1,follow:centerline,centerline:locked|follow:centerline,55.139
18,0.601,126,0,0.16931,0.09000,slow:obstacle,1,1,follow:centerline,centerline:locked|follow:centerline,53.216
19,0.635,125,1,0.16086,0.09800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.986
20,0.668,125,0,0.15844,0.10600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.690
21,0.701,125,0,0.15743,0.11400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.366
22,0.735,123,2,0.14074,0.12200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.113
23,0.768,121,2,0.11975,0.13000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.584
24,0.802,120,1,0.10509,0.13800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.324
25,0.835,119,1,0.09193,0.14600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.674
26,0.868,118,1,0.07942,0.15400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.596
27,0.902,118,0,0.07530,0.16200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.721
28,0.935,116,2,0.05731,0.17000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.393
29,0.969,115,1,0.01951,0.17782,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.993
30,1.002,115,0,0.00820,0.17909,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.290
31,1.035,114,1,0.00344,0.17962,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.709
32,1.069,113,1,0.00145,0.17984,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.699
33,1.102,113,0,0.00061,0.17993,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.631
34,1.136,112,1,0.00026,0.17997,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.157
35,1.169,112,0,0.00011,0.17999,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.495
36,1.202,111,1,0.00004,0.17999,follow,1,0,follow:centerline,centerline:locked|follow:centerline,65.382
37,1.236,110,1,0.00002,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.889
38,1.269,109,1,0.00001,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.106
39,1.303,109,0,0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,61.578
40,1.336,108,1,-0.03252,0.17637,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.153
41,1.369,108,0,-0.04162,0.17535,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.172
42,1.403,107,1,-0.05358,0.17402,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.260
43,1.436,108,1,-0.04933,0.17450,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.800
44,1.470,109,1,-0.01616,0.17820,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.694
45,1.503,111,2,-0.00679,0.14320,slow:obstacle,1,1,follow:centerline,centerline:locked|follow:centerline,49.296
46,1.536,112,1,-0.00285,0.15120,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.832
47,1.570,114,2,-0.00120,0.15920,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.434
48,1.603,130,16,0.14584,0.16372,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.166
49,1.637,130,0,0.18709,0.15912,follow,1,0,follow:centerline,centerline:history|follow:centerline,53.011
50,1.670,130,0,0.20442,0.15719,follow,1,0,follow:centerline,centerline:history|follow:centerline,55.990
51,1.703,121,9,0.13852,0.16454,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.920
52,1.737,117,4,0.08858,0.17011,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.348
53,1.770,115,2,0.03151,0.17648,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.855
54,1.804,114,1,0.01323,0.17852,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.891
55,1.837,114,0,0.00556,0.17938,follow,1,0,follow:centerline,centerline:history|follow:centerline,59.503
56,1.870,102,12,-0.07897,0.17119,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.913
57,1.904,107,5,-0.06243,0.17303,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.600
58,1.937,109,2,-0.02052,0.17771,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.741
59,1.971,110,1,-0.00862,0.17904,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.527
60,2.004,110,0,-0.00362,0.17960,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.730
61,2.037,110,0,-0.00152,0.17983,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.732
62,2.071,109,1,-0.00064,0.17993,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.184
63,2.104,109,0,-0.00027,0.17997,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.773
64,2.138,109,0,-0.00011,0.17999,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.668
65,2.171,110,1,-0.00005,0.17999,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.035
66,2.204,110,0,-0.00002,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.575
