frame,time_s,target_x,target_jump_px,steering,throttle_preview,control_state,lane_confident,obstacle,decision,case,latency_ms
67,2.238,111,1,-0.00001,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.090
68,2.271,111,0,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.839
69,2.305,111,0,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.700
70,2.338,110,1,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.299
71,2.371,110,0,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.620
72,2.405,109,1,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.054
73,2.438,109,0,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.322
74,2.472,110,1,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.978
75,2.505,111,1,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.401
76,2.538,112,1,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.221
77,2.572,114,2,-0.00000,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.726
78,2.605,116,2,0.03252,0.17637,follow,1,0,follow:centerline,centerline:locked|follow:centerline,41.979
79,2.639,118,2,0.05788,0.17354,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.936
80,2.672,120,2,0.08252,0.17079,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.161
81,2.705,122,2,0.10685,0.16808,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.028
82,2.739,123,1,0.12292,0.16628,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.544
83,2.772,124,1,0.13666,0.16475,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.627
84,2.806,125,1,0.14942,0.16332,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.227
85,2.839,126,1,0.16177,0.16195,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.511
86,2.872,128,2,0.18208,0.15968,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.624
87,2.906,131,3,0.21272,0.15626,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.225
88,2.939,131,0,0.22217,0.15521,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.296
89,2.973,134,3,0.25053,0.15204,follow,1,0,follow:centerline,centerline:locked|follow:centerline,42.099
90,3.006,135,1,0.26716,0.15019,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.122
91,3.039,138,3,0.29739,0.14681,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.667
92,3.073,137,1,0.29854,0.14668,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.088
93,3.106,139,2,0.31643,0.14469,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.067
94,3.140,144,5,0.36231,0.13957,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.179
95,3.173,147,3,0.40028,0.13533,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.313
96,3.206,150,3,0.43719,0.13121,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.110
97,3.240,151,1,0.45741,0.12895,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.520
98,3.273,142,9,0.39159,0.13630,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.969
99,3.307,140,2,0.35794,0.14005,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.658
100,3.340,126,14,0.23226,0.14805,follow,1,0,follow:centerline,centerline:locked|follow:centerline,63.373
101,3.373,114,12,0.08160,0.15605,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.328
102,3.407,114,0,0.03427,0.16405,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.856
103,3.440,118,4,0.06318,0.17205,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.725
104,3.474,113,5,0.01970,0.17780,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.888
105,3.507,113,0,0.00827,0.17908,follow,1,0,follow:centerline,centerline:history|follow:centerline,53.080
106,3.540,113,0,0.00347,0.17961,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.498
107,3.574,118,5,0.05024,0.17439,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.417
108,3.607,118,0,0.06305,0.17296,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.632
109,3.641,118,0,0.06843,0.17236,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.784
110,3.674,121,3,0.09508,0.16939,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.751
111,3.707,129,8,0.16789,0.16126,follow,1,0,follow:centerline,centerline:locked|follow:centerline,64.946
112,3.741,137,8,0.25441,0.15161,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.874
113,3.774,140,3,0.30602,0.14585,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.639
114,3.808,141,1,0.33241,0.14290,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.369
115,3.841,141,0,0.34235,0.14179,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.421
116,3.874,141,0,0.34653,0.14133,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.282
117,3.908,151,10,0.42959,0.13206,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.444
118,3.941,151,0,0.45308,0.12944,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.782
119,3.975,156,5,0.50360,0.12380,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.271
120,4.008,175,19,0.67359,0.10483,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.797
121,4.041,185,10,0.80465,0.09020,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.482
122,4.075,185,0,0.84830,0.09000,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.835
123,4.108,185,0,0.86663,0.09000,follow,1,0,follow:centerline,centerline:history|follow:centerline,48.771
124,4.142,187,2,0.89060,0.09000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.464
125,4.175,179,8,0.83334,0.09000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.330
126,4.208,179,0,0.81840,0.09000,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.494
127,4.242,161,18,0.66578,0.09800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.420
128,4.275,162,1,0.63032,0.10600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.929
129,4.309,149,13,0.50859,0.11400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.529
130,4.342,149,0,0.47228,0.12200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.905
131,4.375,164,15,0.57898,0.11539,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.515
132,4.409,175,11,0.69614,0.10231,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.481
133,4.442,172,3,0.70843,0.10094,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.538
134,4.476,172,0,0.71700,0.09998,follow,1,0,follow:centerline,centerline:history|follow:centerline,46.149
135,4.509,153,19,0.56613,0.10798,follow,1,0,follow:centerline,centerline:locked|follow:centerline,68.610
136,4.542,142,11,0.43497,0.11598,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.494
137,4.576,138,4,0.35990,0.12398,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.661
138,4.609,137,1,0.32480,0.13198,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.253
139,4.643,143,6,0.35997,0.13983,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.265
140,4.676,146,3,0.39230,0.13622,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.271
141,4.709,158,12,0.50003,0.12420,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.569
142,4.743,163,5,0.57225,0.11614,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.273
143,4.776,166,3,0.62128,0.11066,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.189
144,4.810,165,1,0.63033,0.10966,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.094
145,4.843,165,0,0.63526,0.10910,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.624
146,4.876,170,5,0.67799,0.10434,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.956
147,4.910,161,9,0.61706,0.11114,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.602
148,4.943,160,1,0.59360,0.11375,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.239
149,4.977,161,1,0.59301,0.11382,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.325
150,5.010,158,3,0.56724,0.11670,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.644
151,5.043,152,6,0.51105,0.12297,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.514
152,5.077,135,17,0.35607,0.13097,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.244
153,5.110,125,10,0.22904,0.13897,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.033
154,5.144,121,4,0.15456,0.14697,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.118
155,5.177,119,2,0.11157,0.15497,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.203
156,5.210,118,1,0.08767,0.16297,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.417
157,5.244,117,1,0.07064,0.17097,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.250
158,5.277,116,1,0.05649,0.17370,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.468
159,5.311,116,0,0.05169,0.17423,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.760
160,5.344,115,1,0.01715,0.17809,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.925
161,5.377,114,1,0.00720,0.17920,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.341
162,5.411,113,1,0.00303,0.17966,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.516
163,5.444,112,1,0.00127,0.17986,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.218
164,5.478,111,1,0.00053,0.17994,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.009
165,5.511,110,1,0.00022,0.17997,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.995
166,5.544,109,1,0.00009,0.17999,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.298
167,5.578,108,1,-0.03248,0.17638,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.824
168,5.611,108,0,-0.04161,0.17536,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.153
169,5.645,108,0,-0.04544,0.17493,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.133
170,5.678,110,2,-0.01453,0.17838,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.527
171,5.711,109,1,-0.00610,0.17932,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.663
172,5.745,109,0,-0.00256,0.17971,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.097
173,5.778,109,0,-0.00108,0.17988,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.809
174,5.812,110,1,-0.00045,0.17995,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.800
175,5.845,114,4,-0.00019,0.17998,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.680
176,5.878,113,1,-0.00008,0.17999,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.610
177,5.912,115,2,-0.00003,0.18000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.190
178,5.945,116,1,0.03251,0.17637,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.217
179,5.979,119,3,0.06601,0.17263,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.562
180,6.012,121,2,0.09292,0.16963,follow,1,0,follow:centerline,centerline:locked|follow:centerline,42.590
181,6.045,124,3,0.12634,0.16590,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.662
182,6.079,127,3,0.16135,0.16199,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.871
183,6.112,133,6,0.22141,0.15529,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.790
184,6.146,140,7,0.29672,0.14689,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.121
185,6.179,143,3,0.34476,0.14152,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.532
186,6.212,140,3,0.33713,0.14238,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.634
187,6.246,139,1,0.32922,0.14326,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.577
188,6.279,142,3,0.35142,0.14078,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.346
189,6.313,146,4,0.38985,0.13649,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.291
190,6.346,147,1,0.40956,0.13429,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.434
191,6.379,148,1,0.42483,0.13259,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.455
192,6.413,149,1,0.43824,0.13109,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.476
193,6.446,148,1,0.43460,0.13150,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.845
194,6.480,147,1,0.42608,0.13245,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.811
195,6.513,146,1,0.41551,0.13363,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.712
196,6.546,145,1,0.40408,0.13490,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.653
197,6.580,144,1,0.39229,0.13622,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.008
198,6.613,143,1,0.38035,0.13755,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.526
199,6.647,143,0,0.37647,0.13799,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.751
200,6.680,143,0,0.37484,0.13817,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.557
201,6.713,142,1,0.36603,0.13915,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.725
202,6.747,142,0,0.36346,0.13944,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.105
203,6.780,142,0,0.36239,0.13956,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.519
204,6.814,142,0,0.36193,0.13961,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.409
205,6.847,141,1,0.35361,0.14054,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.510
206,6.880,141,0,0.35126,0.14080,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.165
207,6.914,142,1,0.35840,0.14000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,43.831
208,6.947,142,0,0.36026,0.13979,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.349
209,6.981,143,1,0.36917,0.13880,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.270
210,7.014,144,1,0.37991,0.13760,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.646
211,7.047,145,1,0.39141,0.13632,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.005
212,7.081,146,1,0.40323,0.13500,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.464
213,7.114,146,0,0.40705,0.13457,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.851
214,7.148,147,1,0.41679,0.13349,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.634
215,7.181,148,1,0.42787,0.13225,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.493
216,7.214,151,3,0.45577,0.12914,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.437
217,7.248,152,1,0.47221,0.12730,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.790
218,7.281,157,5,0.51862,0.12212,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.940
219,7.315,156,1,0.52429,0.12149,follow,1,0,follow:centerline,centerline:locked|follow:centerline,61.964
220,7.348,155,1,0.51968,0.12200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.994
221,7.381,155,0,0.51888,0.12209,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.186
222,7.415,155,0,0.51855,0.12213,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.815
223,7.448,154,1,0.51028,0.12305,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.252
224,7.482,153,1,0.49981,0.12422,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.536
225,7.515,151,2,0.48029,0.12640,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.528
226,7.548,150,1,0.46624,0.12797,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.883
227,7.582,151,1,0.46961,0.12759,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.097
228,7.615,148,3,0.44550,0.13028,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.587
229,7.649,149,1,0.44692,0.13012,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.448
230,7.682,147,2,0.43011,0.13200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.478
231,7.715,150,3,0.44973,0.12981,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.423
232,7.749,146,4,0.42202,0.13290,follow,1,0,follow:centerline,centerline:locked|follow:centerline,57.356
233,7.782,146,0,0.41495,0.13369,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.791
234,7.816,144,2,0.39571,0.13584,follow,1,0,follow:centerline,centerline:locked|follow:centerline,62.657
235,7.849,142,2,0.37365,0.13830,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.347
236,7.882,141,1,0.35854,0.13999,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.623
237,7.916,140,1,0.34520,0.14148,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.415
238,7.949,140,0,0.34073,0.14197,follow,1,0,follow:centerline,centerline:locked|follow:centerline,57.054
239,7.983,138,2,0.32260,0.14400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.270
240,8.016,137,1,0.30913,0.14550,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.190
241,8.049,137,0,0.30461,0.14601,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.162
242,8.083,135,2,0.28645,0.14803,follow,1,0,follow:centerline,centerline:locked|follow:centerline,57.858
243,8.116,134,1,0.27297,0.14954,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.562
244,8.150,132,2,0.25219,0.15186,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.985
245,8.183,132,0,0.24574,0.15258,follow,1,0,follow:centerline,centerline:locked|follow:centerline,55.672
246,8.216,131,1,0.23490,0.15378,follow,1,0,follow:centerline,centerline:locked|follow:centerline,64.851
247,8.250,131,0,0.23149,0.15417,follow,1,0,follow:centerline,centerline:locked|follow:centerline,65.156
248,8.283,131,0,0.23006,0.15433,follow,1,0,follow:centerline,centerline:locked|follow:centerline,66.308
249,8.317,132,1,0.23758,0.15349,follow,1,0,follow:centerline,centerline:locked|follow:centerline,69.141
250,8.350,134,2,0.25587,0.15145,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.432
251,8.383,136,2,0.27753,0.14903,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.593
252,8.417,139,3,0.30874,0.14554,follow,1,0,follow:centerline,centerline:locked|follow:centerline,57.934
253,8.450,144,5,0.35908,0.13993,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.113
254,8.484,143,1,0.36640,0.13911,follow,1,0,follow:centerline,centerline:locked|follow:centerline,63.428
255,8.517,149,6,0.41939,0.13320,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.827
256,8.550,153,4,0.46734,0.12785,follow,1,0,follow:centerline,centerline:locked|follow:centerline,64.963
257,8.584,156,3,0.50731,0.12338,follow,1,0,follow:centerline,centerline:locked|follow:centerline,60.686
258,8.617,158,2,0.53694,0.12008,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.247
259,8.651,161,3,0.57149,0.11622,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.337
260,8.684,162,1,0.59072,0.11408,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.938
261,8.717,170,8,0.66270,0.10604,follow,1,0,follow:centerline,centerline:locked|follow:centerline,59.845
262,8.751,169,1,0.67569,0.10459,follow,1,0,follow:centerline,centerline:locked|follow:centerline,75.659
263,8.784,162,7,0.62537,0.11021,follow,1,0,follow:centerline,centerline:locked|follow:centerline,67.037
264,8.818,158,4,0.57969,0.11531,follow,1,0,follow:centerline,centerline:locked|follow:centerline,62.725
