timestamp,fps,waypoint_x,waypoint_y,road_confidence,steering,throttle,state,armed
1786431591.120814,0.44401602443336213,0.5859885315087324,0.64,0.9999999999999999,0.014609151885483989,0.006,NORMAL,0
1786431591.153057,6.909838644936253,0.5848889696981338,0.64,0.9999999999999999,0.013381576270024155,0.012,NORMAL,0
1786431591.1849957,12.001683357460177,0.5831144148395127,0.64,0.9999999999999999,0.011572022554198692,0.018000000000000002,NORMAL,0
1786431591.2198608,15.420616009216975,0.5850269792955649,0.64,0.9999999999999999,0.013489969368076888,0.024,NORMAL,0
1786431591.2517388,18.9831662803485,0.584347148430662,0.64,0.9999999999999999,0.012787492771781464,0.03,NORMAL,0
1786431591.2862873,20.96462889269681,0.5850674529697859,0.64,0.9999999999999999,0.013514626365883995,0.036,NORMAL,0
1786431591.3232365,23.114550909309266,0.5826459566933011,0.64,0.9999999999999999,0.011085391277766391,0.03907645449949156,NORMAL,0
1786431591.3614576,23.49288841377155,0.5827868055813645,0.64,0.9999999999999999,0.011347207841805892,0.03907645449949156,NORMAL,0
1786431591.395288,24.89391637604423,0.587402885979238,0.64,0.9999999999999999,0.015960257199776638,0.03907645449949156,NORMAL,0
1786431591.426694,26.30620502901516,0.5834877336182869,0.64,0.9999999999999999,0.011844869421395591,0.03907645449949156,NORMAL,0
1786431591.459796,27.161017483295787,0.5827302523878755,0.64,0.9999999999999999,0.011224464551657452,0.03907645449949156,NORMAL,0
1786431591.4907045,28.49645086292434,0.5802723123188649,0.64,0.9999999999999999,0.008745329867799972,0.03907645449949156,NORMAL,0
1786431591.523971,28.886686833132245,0.5877747766401162,0.64,0.9999999999999999,0.016334049628572104,0.03907645449949156,NORMAL,0
1786431591.5545194,29.84250106775506,0.5815782299733591,0.64,0.9999999999999999,0.009632754093355702,0.03907645449949156,NORMAL,0
1786431591.5933578,29.404906239777816,0.5798322821549755,0.64,0.9999999999999999,0.008360217965765485,0.03907645449949156,NORMAL,0
1786431591.628403,29.2248830064731,0.583787335417762,0.64,0.9999999999999999,0.012306897553715598,0.03907645449949156,NORMAL,0
1786431591.6612835,29.645862073827335,0.5848874914972497,0.64,0.9999999999999999,0.013461724055932055,0.03907645449949156,NORMAL,0
1786431591.6961057,29.542774953971293,0.5827638609968433,0.64,0.9999999999999999,0.011435771706035127,0.03907645449949156,NORMAL,0
1786431591.7309787,29.489212181283737,0.5841594504674603,0.64,0.9999999999999999,0.012826154221323865,0.03907645449949156,NORMAL,0
1786431591.7664452,29.437403513648395,0.5855461840463303,0.64,0.9999999999999999,0.01413284554323049,0.03907645449949156,NORMAL,0
1786431591.8007045,29.57182646176306,0.5857890237851293,0.64,0.9999999999999999,0.01430992398584834,0.03907645449949156,NORMAL,0
1786431591.8346498,29.65686890768152,0.5870521236010489,0.64,0.9999999999999999,0.015478460646420151,0.03907645449949156,NORMAL,0
1786431591.865217,30.537686782902757,0.5872150994642424,0.64,0.9999999999999999,0.015560413011845686,0.03907645449949156,NORMAL,0
1786431591.8969395,31.07152330573632,0.581188653785506,0.64,0.9999999999999999,0.009199181822838179,0.03907645449949156,NORMAL,0
1786431591.9276755,31.455636337595006,0.58343552878355,0.64,0.9999999999999999,0.01188101507895588,0.03907645449949156,NORMAL,0
