frame_index,timestamp,waypoint_x,waypoint_y,corrected_x,corrected_y,waypoint_confidence,segmentation_confidence,road_occupancy,road_center,curvature,heading_error,white_left_ratio,white_right_ratio,white_center_ratio,steering,throttle,state,warning
0,1786287920.8654933,0.40223549386200785,0.64,0.4614655590961342,0.64,1.0,0.7000000000000001,0.9703525641025641,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.177,0.3474147414741474,0.28310826818289503,0.010436117401462322,0.0,NORMAL,
1,1786287921.1160913,0.42863915277685066,0.64,0.47149894948377447,0.64,1.0,0.7000000000000001,0.9989316239316239,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.178,0.3201320132013201,0.28618810708362946,0.02282491586107884,0.00012443035802731043,NORMAL,OBSTACLE
2,1786287921.3247993,0.44684687023527364,0.64,0.47841788211797515,0.64,1.0,0.7000000000000001,0.9962606837606838,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.1728888888888889,0.33157315731573156,0.27292110874200426,0.034349046673346484,0.0,NORMAL,
3,1786287921.5396984,0.47038778491336125,0.64,0.48736342969564844,0.64,1.0,0.7000000000000001,0.985424297924298,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.17233333333333334,0.35247524752475246,0.25894337834636344,0.04817890390391211,0.0,NORMAL,
4,1786287921.7304466,0.47572756030871455,0.64,0.4979088781768898,0.64,1.0,0.5499999999999999,0.8557310744810744,0.4513216363069077,1.0,-0.08083825913226339,0.19677777777777777,0.376017601760176,0.23999052357261313,0.051114351981306885,0.0,NORMAL,PERSPECTIVE_WARNING
5,1786287921.9336123,0.478460629707454,0.64,0.49477562230990463,0.64,1.0,0.7000000000000001,0.9871031746031746,0.501181058097197,0.02693664597856959,-0.019476440432306088,0.2088888888888889,0.38382838283828385,0.1980573323856906,0.057089831690543116,0.0,NORMAL,
6,1786287922.1913004,0.4895759007828281,0.64,0.49465491372604586,0.64,1.0,0.7000000000000001,0.9719169719169719,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.24366666666666667,0.35918591859185917,0.15517649846008055,0.055268278207152105,0.0,NORMAL,
7,1786287922.4757607,0.494310416327698,0.64,0.49386210194539876,0.64,1.0,0.7000000000000001,0.9516178266178266,0.5119036634842328,0.44695193818661727,0.024602948431558167,0.25955555555555554,0.33377337733773377,0.12414119876806444,0.05057483686772821,0.0,NORMAL,
8,1786287922.6865313,0.5029815237976907,0.64,0.5011301706277543,0.64,1.0,0.7000000000000001,0.9267399267399268,0.5036283872254694,0.39794667301308867,0.1221843275326879,0.30777777777777776,0.3306930693069307,0.0978441127694859,0.053781391342644425,0.0,NORMAL,
9,1786287922.9126236,0.5223593549888724,0.64,0.5071126263243427,0.64,1.0,0.7000000000000001,0.9935897435897436,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.35088888888888886,0.3035203520352035,0.06728263444681355,0.0332935053922993,0.0,NORMAL,
10,1786287923.1278934,0.5324278733235862,0.64,0.5109386632915339,0.64,1.0,0.7000000000000001,0.9849664224664225,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.3507777777777778,0.2207920792079208,0.04809286898839138,0.007737548786330369,0.0,NORMAL,
11,1786287923.3742738,0.5509703723724347,0.64,0.5179848129300963,0.64,1.0,0.7000000000000001,0.9932081807081807,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.36944444444444446,0.20165016501650165,0.03980099502487562,-0.013476290149761334,0.0,NORMAL,
12,1786287923.6708417,0.557150192708224,0.64,0.5212806140225271,0.64,1.0,0.7000000000000001,0.9925595238095238,0.49260056658949686,0.5293946627451516,0.07924177935485023,0.36844444444444446,0.14862486248624862,0.018715944089078417,-0.02642333287972684,0.0,NORMAL,
13,1786287923.9121935,0.5636132649220272,0.64,0.5227891120989415,0.64,1.0,0.716308179048182,0.9799297924297924,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.3191111111111111,0.1394939493949395,0.014214641080312722,-0.03857406295742818,0.006,NORMAL,
14,1786287924.1072042,0.5672071147783595,0.64,0.5241547750443478,0.64,1.0,0.738646204620462,0.9670711233211233,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.29455555555555557,0.14103410341034103,0.0,-0.04300039330520995,0.012,NORMAL,
15,1786287924.3183737,0.5693229405760228,0.64,0.5249587888474598,0.64,1.0,0.7458327344888006,0.9751984126984127,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.278,0.14466446644664466,0.0009476427386875149,-0.0430642484324816,0.018000000000000002,NORMAL,
16,1786287924.5718849,0.5589095604577919,0.64,0.5210017044025321,0.64,1.0,0.7351869337893279,0.9756181318681318,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.2564444444444444,0.17898789878987897,0.005922767116796968,-0.03660714732736298,0.017030355407069323,NORMAL,
17,1786287924.7859962,0.5571206961791275,0.64,0.5201956067279957,0.64,1.0,0.7750552147325607,0.9459706959706959,0.4984568292166382,0.0705859550326852,-0.010565570580647145,0.22744444444444445,0.13443344334433444,0.013030087656953328,-0.03535167479962113,0.023030355407069325,NORMAL,
18,1786287925.043978,0.562812348688222,0.64,0.5224847639300956,0.64,1.0,0.7541540684132378,0.9606608669108669,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.21455555555555555,0.15775577557755777,0.03743188817815683,-0.027119389885510995,0.029030355407069323,NORMAL,
19,1786287925.228476,0.5596664350817045,0.64,0.5269741329486034,0.64,1.0,0.5993626619378355,0.9028540903540904,0.46676411382269717,1.0,0.4754506761291011,0.20322222222222222,0.17304730473047306,0.04145936981757877,0.038088815486747335,0.009385203841584158,NORMAL,PERSPECTIVE_WARNING
20,1786287925.4713774,0.5604750007873676,0.64,0.5215965717277709,0.64,1.0,0.7539783318203889,0.9154075091575091,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.186,0.18778877887788778,0.03624733475479744,0.031587204297670674,0.015385203841584158,NORMAL,
21,1786287925.6976593,0.5556972468942816,0.64,0.5197810252483982,0.64,1.0,0.7126424060742961,0.9444062881562881,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.21244444444444444,0.2397139713971397,0.026770907367922293,0.030686121523138807,0.012673940511284726,NORMAL,
22,1786287925.8856697,0.5505979539691332,0.64,0.5218226652691309,0.64,1.0,0.5785531015361663,0.9101800976800977,0.4760652368187448,1.0,0.3328154732903703,0.19311111111111112,0.233003300330033,0.026297085998578537,0.07079391016498582,0.005604369663366335,NORMAL,PERSPECTIVE_WARNING
23,1786287926.0856833,0.5400153470226893,0.64,0.5191908963645676,0.64,1.0,0.597080239537813,0.9204441391941391,0.46848654400715056,1.0,0.4490367496774841,0.202,0.17546754675467546,0.04406538734896944,0.10133040154853257,0.009294331643564356,NORMAL,PERSPECTIVE_WARNING
24,1786287926.275697,0.526615325113062,0.64,0.5147936989064523,0.64,1.0,0.5499999999999999,0.9065934065934066,0.4646971976013541,1.0,0.5071473878710405,0.28844444444444445,0.21067106710671066,0.06183368869936034,0.12062341890086023,6.709021782178547e-05,NORMAL,PERSPECTIVE_WARNING
25,1786287926.5130403,0.5182200516633588,0.64,0.5108705243179713,0.64,1.0,0.7000000000000001,0.9323107448107448,0.49888523343159236,0.13468929650983255,-0.021584651731460687,0.3436666666666667,0.22519251925192518,0.059227671167969675,0.0671188337370961,0.0,NORMAL,
26,1786287926.713207,0.5143217718055437,0.64,0.504121509339,0.64,1.0,0.7000000000000001,0.9248702686202687,0.49742337110596635,0.03529297751634491,0.005282785290323238,0.29133333333333333,0.17216721672167218,0.05638474295190713,0.03062909081611763,0.006,NORMAL,
27,1786287926.9040043,0.5102382049215115,0.64,0.5025065892987455,0.64,1.0,0.7000000000000001,0.9733287545787546,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.31233333333333335,0.1942794279427943,0.04904051172707889,0.004853137826194596,0.0,NORMAL,
28,1786287927.1061146,0.5002916494784229,0.64,0.49872689823037186,0.64,1.0,0.7000000000000001,0.9921016483516484,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.31177777777777776,0.1823982398239824,0.08220800758114191,-0.016000202950543687,0.0015595413032392692,NORMAL,
29,1786287927.2972286,0.48657775956961774,0.64,0.4935156200650259,0.64,1.0,0.7000000000000001,0.9515033577533577,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.3035555555555556,0.18833883388338835,0.07036247334754797,-0.030034476140843668,0.002148325900931688,NORMAL,
30,1786287927.5139134,0.47646815462120656,0.64,0.4922805783699573,0.64,1.0,0.7000000000000001,0.8925518925518926,0.49864727366639877,0.10600546484569981,0.0015305981743127257,0.32066666666666666,0.19295929592959296,0.051883439943141436,-0.041286689217256256,0.0,NORMAL,
