frame_index,timestamp,waypoint_x,waypoint_y,corrected_x,corrected_y,waypoint_confidence,segmentation_confidence,road_occupancy,road_center,curvature,heading_error,white_left_ratio,white_right_ratio,white_center_ratio,obstacle_ratio,steering,throttle,state,warning
0,1786288421.9538596,0.4943401931925561,0.64,0.4943401931925561,0.64,1.0,0.9338633663366337,0.8166590354090354,0.5223109896901159,1.0,0.172677213851683,0.06633333333333333,0.043894389438943894,0.0,0.0,0.014382505166775323,0.006,NORMAL,
1,1786288422.0632439,0.4987048047771837,0.64,0.41439426119568495,0.64,1.0,0.7896145214521453,0.5228556166056166,0.5921240770805204,1.0,1.0,0.05377777777777778,0.04686468646864687,0.0,0.0,0.08477756332870047,0.012,NORMAL,PERSPECTIVE_WARNING
2,1786288422.1764803,0.5153897501657138,0.64,0.5153897501657138,0.64,1.0,0.9430877887788779,0.6776556776556777,0.5011584417646323,1.0,0.23419377771240657,0.04688888888888889,0.047964796479647964,0.0,0.0,0.11214420024560617,0.018000000000000002,NORMAL,
3,1786288422.3026512,0.5230708086596211,0.64,0.5230708086596211,0.64,1.0,0.7978316831683169,0.6456043956043956,0.5140460677470309,1.0,0.1224493860753873,0.04833333333333333,0.03861386138613861,0.0,0.0,0.09815520976643483,0.024,NORMAL,PERSPECTIVE_WARNING
4,1786288422.4356987,0.5084890838805202,0.64,0.5084890838805202,0.64,1.0,0.7007844884488449,0.5507478632478633,0.4977678571428574,1.0,0.13459399332591485,0.044333333333333336,0.058525852585258525,0.0,0.0,0.08555879917482745,0.03,NORMAL,PERSPECTIVE_WARNING
5,1786288422.5256433,0.4620535714285718,0.64,0.4620535714285718,0.64,0.0,0.828726402640264,0.5359813797313797,0.4620535714285718,1.0,0.012791991101222025,0.04633333333333333,0.0932893289328933,0.0,0.0,0.04652144737957435,0.02379754138776955,NORMAL,
6,1786288422.666118,0.47767857142857073,0.64,0.47767857142857073,0.64,0.0,0.8136927392739274,0.6051968864468864,0.47767857142857073,1.0,0.06117908787541788,0.043666666666666666,0.12101210121012101,0.0,0.0,0.04792424460165162,0.022017194267186083,NORMAL,
7,1786288422.7762196,0.5557965695500245,0.64,0.5045955535718665,0.64,1.0,0.7270501650165017,0.41746794871794873,0.4732142857142857,0.0,3.343730521224001e-16,0.04377777777777778,0.11947194719471947,0.0,0.0,0.05126888942086871,0.02801719426718608,NORMAL,
8,1786288422.8832138,0.5489475604137296,0.64,0.5453546685454524,0.64,1.0,0.6381349834983497,0.15025946275946275,0.49776785714285704,0.0,-0.3279411764705879,0.03755555555555556,0.12805280528052806,0.0,0.0,0.03189936801208006,0.03401719426718608,NORMAL,
9,1786288422.9794252,0.5485053826066786,0.64,0.517048116819109,0.64,1.0,0.9189907590759075,0.9639041514041514,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.025444444444444443,0.10957095709570958,0.0,0.0,0.03135779204033403,0.04001719426718608,NORMAL,
