epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,109.902,0.57257,0.64633,0.00317,0.75395,0.93787,0.83931,0.79346,0.34841,0.51855,0.00221,0.000492625,0.000492625,0.000492625
43,112.509,0.58586,0.67329,0.00319,0.72986,0.92726,0.83593,0.77792,0.41153,0.54248,0.00272,0.00048025,0.00048025,0.00048025
44,115.085,0.53443,0.60447,0.00291,0.77012,0.9455,0.84491,0.79855,0.34594,0.52339,0.00223,0.000467875,0.000467875,0.000467875
45,117.672,0.54691,0.64916,0.00302,0.7609,0.94116,0.84801,0.80116,0.3653,0.49697,0.00235,0.0004555,0.0004555,0.0004555
46,120.307,0.50734,0.62739,0.00276,0.78762,0.91663,0.84352,0.79238,0.36817,0.51626,0.00242,0.000443125,0.000443125,0.000443125
47,122.902,0.51806,0.6221,0.00276,0.74563,0.93322,0.84391,0.78604,0.39808,0.52941,0.00258,0.00043075,0.00043075,0.00043075
48,125.53,0.52256,0.61281,0.00278,0.75906,0.92898,0.83804,0.76756,0.42819,0.53249,0.00281,0.000418375,0.000418375,0.000418375
49,128.104,0.50837,0.60994,0.00277,0.77658,0.94171,0.83627,0.79109,0.35765,0.49694,0.00228,0.000406,0.000406,0.000406
50,130.714,0.53636,0.63314,0.00283,0.74542,0.95478,0.84084,0.78125,0.39488,0.51854,0.00255,0.000393625,0.000393625,0.000393625
51,133.289,0.51763,0.58961,0.00282,0.79765,0.90103,0.8475,0.80008,0.35808,0.50505,0.00233,0.00038125,0.00038125,0.00038125
52,135.858,0.48458,0.58191,0.00272,0.77099,0.94586,0.83847,0.79407,0.35748,0.47921,0.00228,0.000368875,0.000368875,0.000368875
53,138.424,0.4822,0.57735,0.00263,0.76635,0.93949,0.84359,0.78828,0.39088,0.49104,0.00252,0.0003565,0.0003565,0.0003565
54,141.073,0.50184,0.59461,0.00275,0.78556,0.95102,0.84787,0.80708,0.34084,0.47258,0.00217,0.000344125,0.000344125,0.000344125
55,143.657,0.49245,0.57625,0.00271,0.74232,0.95579,0.8443,0.78019,0.3976,0.48364,0.00251,0.00033175,0.00033175,0.00033175
56,146.221,0.52976,0.57546,0.00285,0.7755,0.92804,0.84001,0.78575,0.37288,0.49158,0.00236,0.000319375,0.000319375,0.000319375
57,148.791,0.50396,0.61571,0.0028,0.78319,0.95062,0.84362,0.79915,0.35369,0.46559,0.00222,0.000307,0.000307,0.000307
58,151.411,0.4731,0.55844,0.00258,0.77334,0.94108,0.83977,0.78803,0.3603,0.47552,0.00232,0.000294625,0.000294625,0.000294625
59,153.997,0.51732,0.5831,0.00272,0.77597,0.94502,0.84094,0.79942,0.33595,0.47559,0.00212,0.00028225,0.00028225,0.00028225
60,156.619,0.49156,0.58867,0.00268,0.77591,0.93973,0.84545,0.79147,0.37575,0.48624,0.00247,0.000269875,0.000269875,0.000269875
61,159.188,0.51624,0.58342,0.00273,0.77905,0.93599,0.84333,0.79858,0.35773,0.45895,0.00229,0.0002575,0.0002575,0.0002575
62,161.819,0.49727,0.5494,0.00277,0.78255,0.95945,0.84711,0.78812,0.37368,0.45877,0.00248,0.000245125,0.000245125,0.000245125
63,164.397,0.49567,0.58092,0.00269,0.78488,0.94739,0.84845,0.77256,0.41827,0.47602,0.00276,0.00023275,0.00023275,0.00023275
64,166.973,0.5161,0.55892,0.00277,0.78147,0.95518,0.84536,0.79862,0.34242,0.45344,0.0022,0.000220375,0.000220375,0.000220375
65,169.551,0.46397,0.54495,0.00252,0.80022,0.94238,0.84888,0.80606,0.33725,0.4438,0.00217,0.000208,0.000208,0.000208
66,172.212,0.49382,0.54822,0.0027,0.80026,0.93547,0.84089,0.78544,0.39963,0.45259,0.00255,0.000195625,0.000195625,0.000195625
67,174.802,0.49655,0.55703,0.0028,0.79505,0.95456,0.8399,0.77238,0.39943,0.4686,0.00262,0.00018325,0.00018325,0.00018325
68,177.384,0.50549,0.57835,0.00276,0.79347,0.94377,0.83783,0.79538,0.33428,0.43729,0.00208,0.000170875,0.000170875,0.000170875
69,179.957,0.49325,0.54705,0.0026,0.79667,0.95017,0.83691,0.78558,0.35961,0.45078,0.00228,0.0001585,0.0001585,0.0001585
70,182.583,0.4937,0.54839,0.00269,0.79704,0.94894,0.8339,0.78617,0.35381,0.4509,0.00226,0.000146125,0.000146125,0.000146125
71,185.067,0.40572,0.50198,0.00265,0.79595,0.94336,0.83521,0.7939,0.32955,0.44264,0.00208,0.00013375,0.00013375,0.00013375
72,187.475,0.38957,0.51897,0.00265,0.78812,0.95158,0.83695,0.79244,0.34185,0.45106,0.00218,0.000121375,0.000121375,0.000121375
73,189.858,0.37689,0.50815,0.00244,0.78482,0.95245,0.83529,0.79449,0.3344,0.43974,0.00213,0.000109,0.000109,0.000109
74,192.253,0.37924,0.48731,0.00243,0.79439,0.9553,0.83668,0.77748,0.37584,0.45194,0.00243,9.6625e-05,9.6625e-05,9.6625e-05
