output_frame,source_video,source_frame,source_time_s,target_x,target_y,filtered_x,filtered_y,confidence,steering_raw,steering,throttle_preview,state,latency_ms
11,1786085420908_202326730929621029_7442541399315262114.mp4,66,2.204417670682731,0.4856053292751312,0.6036479473114014,0.5057628913493798,0.6037317294406206,0.7703059409018875,0.006630470726952778,0.02508687729698015,0.08000000000000002,NORMAL,49.00942000676878
12,1786085420908_202326730929621029_7442541399315262114.mp4,72,2.404819277108434,0.482709139585495,0.6010108590126038,0.49884676582021437,0.6029154683122155,0.7748893147478069,-0.008241737383417064,0.01675472362688085,0.08800000000000002,NORMAL,20.34859999548644
13,1786085420908_202326730929621029_7442541399315262114.mp4,78,2.6052208835341366,0.492939829826355,0.6033536791801453,0.49707468502205654,0.6030469315725944,0.7791267863947843,-0.00828936498465043,0.010493701473998028,0.09600000000000003,NORMAL,53.39644700870849
14,1786085420908_202326730929621029_7442541399315262114.mp4,84,2.8056224899598394,0.5433635711669922,0.6018570065498352,0.5109613508655372,0.6026899540657666,0.7785430771536713,0.036852472823386766,0.017083394311345212,0.10400000000000004,NORMAL,17.10255499347113
15,1786085420908_202326730929621029_7442541399315262114.mp4,90,3.0060240963855422,0.5853906273841858,0.6058594584465027,0.5332901338211318,0.6036408053799874,0.776183710068361,0.09605070531259134,0.03682522206165674,0.11200000000000004,NORMAL,22.653347987215966
16,1786085420908_202326730929621029_7442541399315262114.mp4,96,3.206425702811245,0.6409412026405334,0.6055809855461121,0.5655854544669522,0.6042228594298248,0.7719758291035167,0.17972154651004957,0.07254930317375495,0.12000000000000005,NORMAL,22.361064999131486
17,1786085420908_202326730929621029_7442541399315262114.mp4,102,3.406827309236948,0.6195344924926758,0.6030508279800415,0.5817701658746692,0.6038712499948897,0.7654728092047065,0.20459709070518994,0.1055612500566137,0.12800000000000006,NORMAL,51.25258699990809
18,1786085420908_202326730929621029_7442541399315262114.mp4,108,3.6072289156626507,0.6287686228752136,0.608808159828186,0.5958697029748325,0.6053523229448785,0.7652687706654014,0.23591142208510735,0.13814879306373712,0.13600000000000007,NORMAL,20.1504830038175
19,1786085420908_202326730929621029_7442541399315262114.mp4,114,3.8076305220883535,0.6343696117401123,0.6101111173629761,0.6074196756044165,0.6067799612703078,0.766263021496268,0.26087276207005755,0.16882978531531723,0.14400000000000007,NORMAL,22.446577000664547
20,1786085420908_202326730929621029_7442541399315262114.mp4,120,4.008032128514056,0.6956241130828857,0.6053979396820068,0.6338810068479572,0.6063653547938175,0.7637457822036071,0.3339818837300102,0.20882978531531723,0.14494176840068468,NORMAL,47.70342499250546
21,1786085420908_202326730929621029_7442541399315262114.mp4,126,4.208433734939759,0.7819271683692932,0.6006743907928467,0.678294855304358,0.6046580655935262,0.7527899068583972,0.44981305929327003,0.24882978531531724,0.1402844158799721,NORMAL,21.80145200691186
22,1786085420908_202326730929621029_7442541399315262114.mp4,132,4.408835341365462,0.7059667110443115,0.6062380075454712,0.6865964120263439,0.6051320481791096,0.7524785941236166,0.43986457507582244,0.2888297853153172,0.13626573711588527,NORMAL,51.12539799301885
23,1786085420908_202326730929621029_7442541399315262114.mp4,138,4.609236947791165,0.6590290069580078,0.6030756235122681,0.6783261905058431,0.6045151207790571,0.7465560279066427,0.407712930701153,0.31855057166177614,0.13293830450822094,NORMAL,20.735916012199596
24,1786085420908_202326730929621029_7442541399315262114.mp4,144,4.809638554216868,0.7140008211135864,0.5992307066917419,0.6890285796881661,0.6029297965528625,0.7485127398612642,0.44691630669971727,0.35064200542126145,0.1298465638495497,NORMAL,20.753423013957217
25,1786085420908_202326730929621029_7442541399315262114.mp4,150,5.01004016064257,0.66685950756073,0.6019347906112671,0.6823778580499352,0.6026312947703838,0.753132649706779,0.4178968525442629,0.36745571720201187,0.12844238726220555,NORMAL,47.26046900032088
26,1786085420908_202326730929621029_7442541399315262114.mp4,156,5.210441767068273,0.5418887734413147,0.6021094918251038,0.6402311326673491,0.6024747538867998,0.7625077187149569,0.2931732110526327,0.3488850906646671,0.1308619540564307,NORMAL,20.515724987490103
27,1786085420908_202326730929621029_7442541399315262114.mp4,162,5.410843373493976,0.5201656818389893,0.6052082180976868,0.6042114974188412,0.6032947931500658,0.7700226479162962,0.21497741110832375,0.3154081707755813,0.13466054179741963,NORMAL,20.432490011444315
28,1786085420908_202326730929621029_7442541399315262114.mp4,168,5.611244979919679,0.4964350461959839,0.6046732664108276,0.571878562051984,0.6037083351282944,0.7755479933195444,0.1426864709610026,0.27540817077558133,0.13899206252161453,NORMAL,45.62707900186069
29,1786085420908_202326730929621029_7442541399315262114.mp4,174,5.811646586345382,0.50099778175354,0.6055779457092285,0.5506143279624508,0.6042692183025746,0.7803830648423425,0.10183151279222577,0.23540817077558132,0.14328216681298242,NORMAL,20.418669999344274
30,1786085420908_202326730929621029_7442541399315262114.mp4,180,6.0120481927710845,0.5357152223587036,0.6057329177856445,0.5461445962813266,0.6047083281474955,0.7829861622525089,0.10481371947980275,0.2027595579516367,0.14670321393998687,NORMAL,53.97480400279164
31,1786085420908_202326730929621029_7442541399315262114.mp4,186,6.212449799196787,0.6175428628921509,0.6102563738822937,0.567564076264574,0.606372741867935,0.7847619282236677,0.17580835027110614,0.19602175603150407,0.14748354009026965,NORMAL,48.319571011234075
32,1786085420908_202326730929621029_7442541399315262114.mp4,192,6.41285140562249,0.6345911026000977,0.6075313091278076,0.587672184165231,0.6067203120458967,0.784137664131491,0.22176164250547123,0.20245672764999587,0.14680258708288987,NORMAL,5.577931005973369
33,1786085420908_202326730929621029_7442541399315262114.mp4,198,6.613253012048193,0.637971818447113,0.6084421873092651,0.6027620744497957,0.6072368746249073,0.7854745313768764,0.25293537580734976,0.21507638968933435,0.14562083291367914,NORMAL,5.405854986747727
34,1786085420908_202326730929621029_7442541399315262114.mp4,204,6.813654618473896,0.6291384696960449,0.6064461469650269,0.6106749930236705,0.6069996563269431,0.7853310890666271,0.26554451137695667,0.2276934201112399,0.14435052333287363,NORMAL,5.746979994000867
35,1786085420908_202326730929621029_7442541399315262114.mp4,210,7.014056224899599,0.6264680624008179,0.6031626462936401,0.6154129138368147,0.6058485533169522,0.7845970880359547,0.273850538855021,0.23923269979718517,0.14315255530243876,NORMAL,5.770685995230451
36,1786085420908_202326730929621029_7442541399315262114.mp4,216,7.214457831325301,0.6576547026634216,0.602139949798584,0.6280854504847968,0.6047359722614417,0.7795262857237553,0.30936018476995986,0.25676457104037886,0.14109512003938743,NORMAL,5.7346519897691905
37,1786085420908_202326730929621029_7442541399315262114.mp4,222,7.414859437751004,0.6721999645233154,0.5994253158569336,0.6413198046963523,0.6031427753400892,0.7682955390981203,0.34007500416558945,0.2775921793216815,0.13833851441371905,NORMAL,5.388799996580929
38,1786085420908_202326730929621029_7442541399315262114.mp4,228,7.615261044176707,0.6656205654144287,0.6012446284294128,0.6486100329117752,0.6025733312668863,0.7694856851041273,0.3519762201819738,0.2961881895367546,0.13655032215257218,NORMAL,10.6650109810289
39,1786085420908_202326730929621029_7442541399315262114.mp4,234,7.81566265060241,0.6455848813056946,0.5999506711959839,0.647702487429951,0.6017865332456156,0.769571023197767,0.3432212441502174,0.30794645319012026,0.135379616072854,NORMAL,7.903521996922791
40,1786085420908_202326730929621029_7442541399315262114.mp4,240,8.016064257028113,0.6053893566131592,0.6041673421859741,0.6350085481849134,0.6025007759277231,0.7711943983120301,0.30472487851227303,0.30714105952065845,0.13555755794665594,NORMAL,5.7465669815428555
41,1786085420908_202326730929621029_7442541399315262114.mp4,246,8.216465863453815,0.5889081954956055,0.6065650582313538,0.621178442378121,0.6037200606188122,0.7723388254004522,0.27207351436781285,0.298374173232447,0.13650291220078242,NORMAL,5.725052993511781
42,1786085420908_202326730929621029_7442541399315262114.mp4,252,8.416867469879518,0.614631175994873,0.6007670760154724,0.6192142624631466,0.6028341652378102,0.7707844262868625,0.2769155210512131,0.29300951018713856,0.1369461145584979,NORMAL,48.38148897397332
43,1786085420908_202326730929621029_7442541399315262114.mp4,258,8.61726907630522,0.6800714135169983,0.5991551876068115,0.637471407779302,0.6017304719485106,0.7653903106734476,0.3350469956006583,0.3035188815405185,0.135571530486355,NORMAL,15.208963974146172
44,1786085420908_202326730929621029_7442541399315262114.mp4,264,8.817670682730924,0.7569953799247742,0.6003413796424866,0.6733285994229437,0.6013137442567034,0.7543002960999533,0.4311117583129284,0.33541710073362097,0.1317163076926351,NORMAL,22.725695016561076
45,1786085420908_202326730929621029_7442541399315262114.mp4,270,9.018072289156626,0.8067457675933838,0.5936710834503174,0.7133537498740756,0.5990209460147875,0.7300346909506924,0.5245551269624554,0.37541710073362095,0.12626037138367943,NORMAL,52.2956780041568
46,1786085420908_202326730929621029_7442541399315262114.mp4,276,9.21847389558233,0.5765976905822754,0.6022595763206482,0.6723269320865355,0.5999925351065457,0.743626522320575,0.36710984364911514,0.3733402864624945,0.12728356269298502,NORMAL,22.492312011308968
47,1786085420908_202326730929621029_7442541399315262114.mp4,282,9.418875502008031,0.5626105666160583,0.5982284545898438,0.6394120224453923,0.599463310951535,0.7529460222608313,0.29825661822498484,0.3545693694031171,0.12971982439533816,NORMAL,22.764734021620825
48,1786085420908_202326730929621029_7442541399315262114.mp4,288,9.619277108433735,0.5643996000289917,0.603300929069519,0.6169082957204721,0.6006145963869303,0.7597090861956799,0.2548831573415548,0.32964781638772656,0.13261776353296814,NORMAL,53.42084201402031
49,1786085420908_202326730929621029_7442541399315262114.mp4,294,9.819678714859437,0.6257467269897461,0.6021538972854614,0.6195598251012543,0.6010763866564897,0.7618328693739936,0.2811900222995583,0.3175333678656845,0.13395663537587116,NORMAL,20.225969987222925
50,1786085420908_202326730929621029_7442541399315262114.mp4,300,10.02008032128514,0.6609296202659607,0.6010974645614624,0.6319707636506662,0.6010827100279814,0.7642734184128698,0.3176232437592144,0.31755583683906696,0.1341008214208655,NORMAL,20.54041498922743
51,1786085420908_202326730929621029_7442541399315262114.mp4,306,10.220481927710843,0.7000556588172913,0.604232668876648,0.6523962322006537,0.6020276976825814,0.7686943028354504,0.371081664376001,0.3309372937233005,0.13302792879779698,NORMAL,15.745212993351743
52,1786085420908_202326730929621029_7442541399315262114.mp4,312,10.420883534136546,0.6892407536506653,0.6038207411766052,0.6634495886356571,0.6025656107307884,0.7698425143747231,0.38894733032555384,0.34543980287386383,0.131646570575097,NORMAL,22.794960997998714
53,1786085420908_202326730929621029_7442541399315262114.mp4,318,10.621285140562248,0.6915423274040222,0.600630521774292,0.6718774102661667,0.6019850840438394,0.7692218127699783,0.4059738620940369,0.3605733176789071,0.13009597699830797,NORMAL,22.45354698970914
54,1786085420908_202326730929621029_7442541399315262114.mp4,324,10.821686746987952,0.6917022466659546,0.5974829196929932,0.677824861186103,0.6006344347385855,0.7675865503148698,0.41729776980436317,0.3747544307102711,0.12857974994786506,NORMAL,48.5965900006704
55,1786085420908_202326730929621029_7442541399315262114.mp4,330,11.022088353413654,0.7207337617874146,0.6001818776130676,0.6906975313664965,0.6004986676009301,0.76655405445869,0.4520095401393994,0.39406820806755316,0.12658642246076607,NORMAL,22.006818995578215
56,1786085420908_202326730929621029_7442541399315262114.mp4,336,11.222489959839358,0.7790281772613525,0.5974515676498413,0.7171967251349533,0.5995845376156034,0.7658956624943282,0.5224671929881071,0.4261679542976916,0.12333694431989053,NORMAL,22.692181984893978
57,1786085420908_202326730929621029_7442541399315262114.mp4,342,11.42289156626506,0.8455698490142822,0.5925556421279907,0.7557086622987519,0.5974758689693196,0.7638303800935333,0.617537775023066,0.4661679542976916,0.11921302737584284,NORMAL,43.14668499864638
58,1786085420908_202326730929621029_7442541399315262114.mp4,348,11.623293172690763,0.8676210641860962,0.5798428058624268,0.7892823828649551,0.5921859500372517,0.7439968163927743,0.6864730818201903,0.5061679542976916,0.11402301355379729,NORMAL,5.697704997146502
59,1786085420908_202326730929621029_7442541399315262114.mp4,354,11.823694779116465,0.7250345945358276,0.5973559617996216,0.7700080463662168,0.5937369535659627,0.744068479797467,0.6021557914220527,0.5301649135787818,0.11162761742996985,NORMAL,5.7025539863388985
60,1786085420908_202326730929621029_7442541399315262114.mp4,360,12.024096385542169,0.6932083964347839,0.5993808507919312,0.7469681513867868,0.5954301227337532,0.7435191347031365,0.5485021240043866,0.534749216185183,0.11113622646366988,NORMAL,5.469511001138017
61,1786085420908_202326730929621029_7442541399315262114.mp4,366,12.224497991967871,0.6394293308258057,0.596562385559082,0.7147065052184924,0.5957698015813517,0.7430358878453571,0.46916626875780276,0.518353479328338,0.11274680533788764,NORMAL,5.53951199981384
62,1786085420908_202326730929621029_7442541399315262114.mp4,372,12.424899598393575,0.579915463924408,0.595415472984314,0.6742691928302671,0.5956635030022404,0.7446001416619618,0.3713004749042668,0.48159022822232017,0.11651698567748567,NORMAL,5.465863010613248
63,1786085420908_202326730929621029_7442541399315262114.mp4,378,12.625301204819277,0.5694002509117126,0.5983539819717407,0.6428085102547008,0.5964706466930905,0.7480101696971256,0.3067994604977672,0.4415902282223202,0.12072158735959551,NORMAL,5.4367309785448015
64,1786085420908_202326730929621029_7442541399315262114.mp4,384,12.82570281124498,0.7045815587043762,0.5967649221420288,0.6613404247896034,0.5965589293277719,0.7480456072714169,0.3891852322164635,0.428488979220856,0.12203383851419941,NORMAL,20.76945101725869
65,1786085420908_202326730929621029_7442541399315262114.mp4,390,13.026104417670682,0.64659583568573,0.6025094985961914,0.6569170480584413,0.5983441001082977,0.7562956042129165,0.3609928123771803,0.41161493750993705,0.12421624250178129,NORMAL,52.07220901502296
66,1786085420908_202326730929621029_7442541399315262114.mp4,396,13.226506024096386,0.6049727201461792,0.6054506897926331,0.6413337496847626,0.6004760770135983,0.7624624191648619,0.31667662422001336,0.38788035918745617,0.12695970923114608,NORMAL,17.46710599400103
67,1786085420908_202326730929621029_7442541399315262114.mp4,402,13.426907630522088,0.5518343448638916,0.6062421202659607,0.6144839282385013,0.602205889989307,0.7693047218768596,0.24599053831687026,0.3524079039698097,0.1309174929156306,NORMAL,22.425723989726976
68,1786085420908_202326730929621029_7442541399315262114.mp4,408,13.627309236947792,0.5069777369499207,0.6029602289199829,0.5822320708519271,0.6024321916685097,0.7728662396743058,0.16679634071804603,0.3124079039698097,0.13513118398347737,NORMAL,43.76819101162255
69,1786085420908_202326730929621029_7442541399315262114.mp4,414,13.827710843373493,0.5180838108062744,0.602853536605835,0.5629875928382312,0.6025585951497072,0.774254500239284,0.13229793281485083,0.27240790396980974,0.13921447961737607,NORMAL,20.770069007994607
70,1786085420908_202326730929621029_7442541399315262114.mp4,420,14.028112449799197,0.5283772945404053,0.6051253080368042,0.5526045033488833,0.6033286090158363,0.7757751877689697,0.11514401115507707,0.23309193076612658,0.1432373181895255,NORMAL,20.53088301909156
71,1786085420908_202326730929621029_7442541399315262114.mp4,426,14.228514056224899,0.5577443242073059,0.6062107086181641,0.5541464496064101,0.6041932388965346,0.7785681560545202,0.12834650189217986,0.20690557354763991,0.1460235320085072,NORMAL,47.388666978804395
72,1786085420908_202326730929621029_7442541399315262114.mp4,432,14.428915662650603,0.5979627370834351,0.6098333597183228,0.5672913358495175,0.605885275143071,0.7806096903916523,0.16851385746153896,0.19730764452611466,0.14710581697088768,NORMAL,20.276263006962836
73,1786085420908_202326730929621029_7442541399315262114.mp4,438,14.629317269076305,0.6161810755729675,0.6096518039703369,0.5819582577665525,0.6070152337912508,0.7816700322136707,0.20410425365646376,0.19900679680870195,0.14699952225195004,NORMAL,22.551119996933267
74,1786085420908_202326730929621029_7442541399315262114.mp4,444,14.829718875502008,0.6273586750030518,0.6057019829750061,0.5955783829375023,0.6066212585463774,0.7812109994782803,0.2349816309911738,0.2080005053543199,0.14607260943326483,NORMAL,12.305976008065045
75,1786085420908_202326730929621029_7442541399315262114.mp4,450,15.03012048192771,0.5501334071159363,0.6065985560417175,0.5819448901910325,0.6066144477949794,0.7799049839899598,0.18139642069496703,0.20134948418948168,0.1466593506204494,NORMAL,21.421515004476532
76,1786085420908_202326730929621029_7442541399315262114.mp4,456,15.230522088353414,0.5187707543373108,0.6083477139472961,0.5629926494349159,0.6071344276406744,0.7829368748136322,0.13286445126880725,0.1842282259593131,0.1485533898928866,NORMAL,52.43047801195644
77,1786085420908_202326730929621029_7442541399315262114.mp4,462,15.430923694779116,0.5011973977088928,0.6060791611671448,0.544454073917109,0.6068178476986155,0.7856633033859304,0.08970040977619731,0.16059627191353415,0.15108017101180238,NORMAL,15.654792980058119
78,1786085420908_202326730929621029_7442541399315262114.mp4,468,15.63132530120482,0.4909345507621765,0.6059897541999817,0.5283982169706292,0.6065694196490252,0.7880088604048192,0.05395617142864689,0.13393624679231234,0.15388690694505794,NORMAL,21.862810011953115
79,1786085420908_202326730929621029_7442541399315262114.mp4,474,15.831726907630522,0.5101739168167114,0.6030913591384888,0.5229309269244539,0.6055260014958642,0.7881972254900842,0.04954522860571638,0.11283849224566335,0.15600798430483873,NORMAL,48.6695549916476
80,1786085420908_202326730929621029_7442541399315262114.mp4,480,16.032128514056225,0.5066385865211487,0.6057905554771423,0.5180432248034623,0.6056053676902476,0.7886052591713364,0.03852123346919673,0.0942591775515467,0.1578903977951255,NORMAL,19.844600989017636
81,1786085420908_202326730929621029_7442541399315262114.mp4,486,16.23253012048193,0.4820036292076111,0.6026730537414551,0.5072313461247069,0.6047256735056099,0.7888307297407057,0.008350750254235578,0.07278207072721893,0.16005163671172043,NORMAL,20.49063699087128
82,1786085420908_202326730929621029_7442541399315262114.mp4,492,16.43293172690763,0.4884442985057831,0.6046047210693359,0.5015952318390298,0.6046893877747277,0.7900781439666873,-0.0007586325954116602,0.05439689489656128,0.1619649991483451,NORMAL,17.745115008438006
83,1786085420913_202326730929621029_7442541399315262114.mp4,0,0.0,0.5183447003364563,0.5991942882537842,0.5066200723882577,0.6030408579184446,0.7870510086265651,0.019570461818214837,0.04569028662697467,0.16265403185489644,NORMAL,16.77097799256444
84,1786085420913_202326730929621029_7442541399315262114.mp4,6,0.2,0.5342940092086792,0.5990198254585266,0.514922253434384,0.6018345481804692,0.7839743937445892,0.04167140162299676,0.044685565375980195,0.16256990708707733,NORMAL,5.482364009367302
85,1786085420913_202326730929621029_7442541399315262114.mp4,12,0.4,0.5310725569725037,0.5983026027679443,0.5197673444958198,0.6007749645567118,0.7818227302804837,0.05025292253374085,0.04607740466542036,0.162301623350287,NORMAL,5.534144991543144
86,1786085420913_202326730929621029_7442541399315262114.mp4,18,0.6,0.5419901013374329,0.6008850336074829,0.5264341715483037,0.6008079852719431,0.7805172129713172,0.06734498432424751,0.051394299580127145,0.1616916028202663,NORMAL,7.364480989053845
87,1786085420913_202326730929621029_7442541399315262114.mp4,24,0.8,0.5337060689926147,0.6014490127563477,0.528615740781597,0.6010002935172645,0.7797553784618647,0.06887742372967812,0.05576508061751489,0.16120881464596037,NORMAL,5.579886987106875
88,1786085420913_202326730929621029_7442541399315262114.mp4,30,1.0,0.5336881279945374,0.6010640263557434,0.5301374569454791,0.601019413368808,0.7795174055177876,0.07191760573354469,0.05980321189652234,0.16079072314141502,NORMAL,5.3721320000477135
89,1786085420913_202326730929621029_7442541399315262114.mp4,36,1.2,0.5452933311462402,0.6008683443069458,0.5346842192057074,0.6009740926502494,0.7788300646359956,0.08499277402571333,0.06610060242882008,0.1601197436352777,NORMAL,5.421770998509601
90,1786085420913_202326730929621029_7442541399315262114.mp4,42,1.4,0.5707584023475647,0.6004825234413147,0.5455064741482646,0.600826621887569,0.7761746022215152,0.11535397049893084,0.07841394444634778,0.15872908168865613,NORMAL,46.58971799653955
91,1786085420913_202326730929621029_7442541399315262114.mp4,48,1.6,0.6084111928939819,0.6061640381813049,0.5643778897719798,0.6024278467756897,0.7724118571656411,0.16603090188735858,0.10031818380660049,0.1563128930492784,NORMAL,9.716030006529763
92,1786085420913_202326730929621029_7442541399315262114.mp4,54,1.8,0.6110970377922058,0.6063441634178162,0.5783936341780476,0.6036027417683276,0.7693694709563479,0.19496377564868383,0.12397958176712132,0.15376421008066873,NORMAL,16.453802993055433
93,1786085420913_202326730929621029_7442541399315262114.mp4,60,2.0,0.6008490324020386,0.604320764541626,0.5851302536452448,0.6038181486003171,0.7682606314795173,0.20486562087335053,0.1442010915436786,0.15167552873440315,NORMAL,21.895590994972736
94,1786085420913_202326730929621029_7442541399315262114.mp4,66,2.2,0.566277265548706,0.600322961807251,0.5794743572162832,0.6027695925623973,0.7691463584327568,0.18167521844464,0.15356962326891896,0.1507918191790735,NORMAL,44.14077699766494
95,1786085420913_202326730929621029_7442541399315262114.mp4,72,2.4,0.531943142414093,0.6004312634468079,0.565214992775626,0.6020680938277204,0.7733684309558777,0.1414566392727224,0.15054137726986982,0.15134796813036566,NORMAL,13.125115976436064
96,1786085420913_202326730929621029_7442541399315262114.mp4,78,2.6,0.4954270124435425,0.5999141931533813,0.5442785986760009,0.6014219236254187,0.7761454075342114,0.08710179341290529,0.13468148130562868,0.1531005763214898,NORMAL,22.398574015824124
97,1786085420913_202326730929621029_7442541399315262114.mp4,84,2.8,0.49403896927833557,0.6011090278625488,0.5292067098567013,0.6013280548965577,0.7786274137930062,0.05647080567830745,0.11512881239879838,0.15520476358770052,NORMAL,44.03722001006827
98,1786085420913_202326730929621029_7442541399315262114.mp4,90,3.0,0.4922800362110138,0.6008399128913879,0.518128707762995,0.6011816122950068,0.7804111846273332,0.033679270536802065,0.09476642693329931,0.15734802838431006,NORMAL,22.237660974496976
99,1786085420913_202326730929621029_7442541399315262114.mp4,96,3.2,0.49565184116363525,0.598875880241394,0.5113856477831871,0.6004898926789229,0.7813118522951634,0.021316959794618506,0.07640406014862912,0.1592383051228469,NORMAL,53.481225011637434
