epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
56,207.831,0.15629,0.11762,0.08516,0.81286,0.91193,0.37468,0.124,0,0.000354826,0.000354826,0.000354826
57,211.532,0.15703,0.11369,0.08581,0.80574,0.90327,0.46088,0.12773,0,0.000341077,0.000341077,0.000341077
58,215.275,0.15624,0.11703,0.08493,0.81277,0.90668,0.43344,0.12324,0,0.000327328,0.000327328,0.000327328
59,218.963,0.15856,0.11712,0.0864,0.82793,0.923,0.28613,0.11288,0,0.00031358,0.00031358,0.00031358
60,222.668,0.15483,0.11575,0.08489,0.82389,0.91887,0.32757,0.11637,0,0.000299831,0.000299831,0.000299831
61,226.374,0.15635,0.11232,0.0859,0.82552,0.91958,0.32462,0.11465,0,0.000286083,0.000286083,0.000286083
62,230.059,0.15603,0.11741,0.0848,0.81686,0.91202,0.38638,0.11997,0,0.000272334,0.000272334,0.000272334
63,233.805,0.15332,0.11906,0.0841,0.81149,0.91139,0.38623,0.12268,0,0.000258585,0.000258585,0.000258585
64,237.498,0.15405,0.11319,0.08454,0.8175,0.91579,0.35538,0.11924,0,0.000244837,0.000244837,0.000244837
65,241.21,0.15416,0.11742,0.08497,0.81738,0.91026,0.41404,0.11968,0,0.000231088,0.000231088,0.000231088
66,244.924,0.15202,0.11241,0.08432,0.81166,0.90715,0.44188,0.1228,0,0.000217339,0.000217339,0.000217339
67,248.623,0.15338,0.11313,0.08434,0.81298,0.90657,0.45021,0.12304,0,0.000203591,0.000203591,0.000203591
68,252.358,0.15285,0.11103,0.084,0.81637,0.90967,0.41687,0.12036,0,0.000189842,0.000189842,0.000189842
69,256.073,0.15114,0.11154,0.08384,0.81462,0.90782,0.43853,0.12238,0,0.000176094,0.000176094,0.000176094
70,259.782,0.15387,0.11758,0.08412,0.80951,0.90715,0.44939,0.12521,0,0.000162345,0.000162345,0.000162345
71,263.487,0.14417,0.10591,0.0804,0.81889,0.91341,0.39081,0.11893,0,0.000148596,0.000148596,0.000148596
72,267.108,0.14487,0.10958,0.08076,0.8209,0.91286,0.39873,0.11856,0,0.000134848,0.000134848,0.000134848
73,270.747,0.14211,0.1064,0.07935,0.81655,0.91252,0.40306,0.11959,0,0.000121099,0.000121099,0.000121099
74,274.37,0.14283,0.10387,0.07965,0.82292,0.91454,0.38686,0.11685,0,0.00010735,0.00010735,0.00010735
75,278.002,0.14269,0.10415,0.07962,0.81695,0.91089,0.42227,0.11939,0,9.36017e-05,9.36017e-05,9.36017e-05
76,281.62,0.14562,0.10739,0.08081,0.82157,0.91489,0.38862,0.11662,0,7.98531e-05,7.98531e-05,7.98531e-05
77,285.238,0.14309,0.10609,0.07996,0.82249,0.91592,0.3775,0.1161,0,6.61045e-05,6.61045e-05,6.61045e-05
78,288.867,0.14192,0.1049,0.0797,0.81658,0.90938,0.44093,0.11972,0,5.23559e-05,5.23559e-05,5.23559e-05
79,292.476,0.14056,0.10232,0.07884,0.81854,0.91216,0.41505,0.11835,0,3.86073e-05,3.86073e-05,3.86073e-05
