timestamp,fps,lane_confidence,target_x,risk,white_front,steering,throttle,throttle_max,state,armed,competition,green,start_authorized,start_latency_ms
1787199166.5098114,0.13282197607492785,0.4798387096774194,98.41290075500609,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.5771525,0.12951382587063612,0.4798387096774194,98.391837181311,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.6169443,3.0893339905059634,0.4798387096774194,98.56444906444915,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.6600997,7.473072582695032,0.4798387096774194,98.51241930189302,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.702276,10.634170787449492,0.4798387096774194,98.51241930189302,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.7501233,13.24860580797868,0.4798387096774194,99.03337345442625,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.7927365,14.758613664994545,0.4798387096774194,98.98331327278713,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.8347142,16.527131702035938,0.4798387096774194,98.81288981288995,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.8828905,17.98475234756717,0.4798387096774194,98.90797680271373,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.9254754,18.523419105999864,0.4798387096774194,98.64284932705995,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199166.9680068,19.53678955167151,0.4798387096774194,99.03195097931955,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199167.015758,20.328116603933573,0.4798387096774194,98.49223109749433,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199167.0592082,20.420749530032374,0.4798387096774194,98.74805777437368,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
1787199167.1011636,20.975697738816205,0.4798387096774194,98.51241930189302,0.0,0.0,0.0,0.0,0.9999999999999999,wait:lane_lock,0,0,0,0,-1.0
