timestamp,fps,lane_confidence,target_x,risk,white_front,steering,throttle,throttle_max,state,armed
1786515561.9486237,0.3398626780160388,0.4495967741935484,223.0,0.0,0.0,0.18,0.012,0.32,follow,0
1786515562.1760087,0.27750531858709876,0.8366935483870968,195.0,0.0,0.0,0.36,0.024,0.32,follow,0
1786515562.2565038,1.5860788460801558,0.4374078341013825,219.70420030419749,0.0,0.0,0.54,0.036000000000000004,0.32,follow,0
1786515562.360608,3.7454309371799486,0.8004032258064516,191.70420030419749,0.0,0.0,0.36000000000000004,0.048,0.32,follow,0
1786515562.4464107,4.925348946271753,0.5040322580645161,205.98099461513888,0.0,0.0,0.54,0.06,0.32,follow,0
1786515562.5318103,6.225727599362877,0.5040322580645161,177.98099461513888,0.0,0.0,0.36000000000000004,0.072,0.32,follow,0
1786515562.6127598,7.34688106941484,0.4616935483870968,149.98099461513888,0.0,0.0,0.18000000000000005,0.08399999999999999,0.32,follow,0
1786515562.711879,8.35740108083355,0.842741935483871,121.98099461513888,0.0,0.0,5.551115123125783e-17,0.09599999999999999,0.32,follow,0
1786515562.8094578,8.710819114805187,0.8487903225806451,93.98099461513888,0.0,0.0,-0.17999999999999994,0.10799999999999998,0.32,follow,0
1786515562.90466,9.022134418365635,0.8850806451612904,65.98099461513888,0.0,0.0,-0.35999999999999993,0.11999999999999998,0.32,follow,0
1786515562.992492,9.320972104141905,0.8366935483870968,37.98099461513888,0.0,0.0,-0.5399999999999999,0.13199999999999998,0.32,follow,0
1786515563.0828068,9.71186059794149,0.8911290322580645,9.980994615138883,0.0,0.0,-0.72,0.12108995483870968,0.32,follow,0
1786515563.156252,10.003615469671761,0.4616935483870968,0.0,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515563.2307167,10.709335492539541,0.4701728110599078,28.0,0.0,0.0,-0.6399999999999999,0.102,0.32,follow,0
1786515563.3192186,11.26110217775507,0.872983870967742,6.141627045452868,0.0,0.0,-0.8199999999999998,0.10660534314516133,0.32,follow,0
1786515563.4047031,11.26187941194899,0.872983870967742,6.3537177040012836,0.0,0.0,-0.82,0.1066053431451613,0.32,follow,0
1786515563.4922569,11.36474439090071,0.9153225806451613,6.417963073582346,0.0,0.0,-0.82,0.1087595620967742,0.32,follow,0
1786515563.577981,11.362377111632885,0.7217741935483871,6.933293887990752,0.0,0.0,-0.82,0.09891170403225807,0.32,follow,0
1786515563.6644151,11.43736890368226,0.842741935483871,7.3121491848848255,0.0,0.0,-0.82,0.10506661532258066,0.32,follow,0
1786515563.7522464,11.459656906118541,0.8245967741935484,7.380467207720891,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515563.8362381,11.427249755605963,0.872983870967742,6.938288088917717,0.0,0.0,-0.82,0.102,0.32,follow,0
1786515563.925805,11.508943340896465,0.7701612903225807,6.077595840406566,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515564.014,11.416680371098828,0.625,7.161620835536716,0.0,0.0,-0.82,0.09398777500000002,0.32,follow,0
1786515564.1007774,11.448946335955156,0.8608870967741936,8.951263852827296,0.0,0.0,-0.82,0.10598777500000002,0.32,follow,0
1786515564.1814022,11.47236955555296,0.35163594470046083,36.951263852827296,0.0,0.0,-0.6399999999999999,0.09,0.32,follow,0
1786515564.2775657,11.629615819158886,0.8608870967741936,8.951263852827296,0.0,0.0,-0.8199999999999998,0.102,0.32,follow,0
1786515564.3511274,11.389657672540512,0.4356451612903226,36.951263852827296,0.0,0.0,-0.6399999999999999,0.09,0.32,follow,0
1786515564.4325233,11.858686039732865,0.40388248847926267,64.9512638528273,0.0,0.0,-0.4599999999999999,0.102,0.32,follow,0
1786515564.5232418,11.932211654063982,0.752016129032258,36.951263852827296,0.0,0.0,-0.6399999999999999,0.11399999999999999,0.32,follow,0
1786515564.6078641,11.748846316830019,0.6189516129032258,8.951263852827296,0.0,0.0,-0.8199999999999998,0.09,0.32,follow,0
1786515564.682155,11.771413728922585,0.3978341013824885,36.951263852827296,0.0,0.0,-0.6399999999999999,0.10114206035023043,0.32,follow,0
1786515564.7586386,12.113323692110097,0.4477880184331797,64.9512638528273,0.0,0.0,-0.4599999999999999,0.09,0.32,follow,0
1786515564.8470163,12.305290136985045,0.8548387096774193,36.951263852827296,0.0,0.0,-0.6399999999999999,0.102,0.32,follow,0
1786515564.937077,12.077743091885004,0.8911290322580645,8.951263852827296,0.0,0.0,-0.8199999999999998,0.10752857983870971,0.32,follow,0
1786515565.0136828,11.901487247562248,0.4109792626728111,36.951263852827296,0.0,0.0,-0.6399999999999999,0.10196272854377883,0.32,follow,0
1786515565.085595,12.133643658146026,0.45564516129032256,8.951263852827296,0.0,0.0,-0.8199999999999998,0.09,0.32,follow,0
1786515565.172005,12.506380200675228,0.8487903225806451,5.769690151005438,0.0,0.0,-0.82,0.102,0.32,follow,0
1786515565.2647927,12.314507487391731,0.8850806451612904,5.803651995456331,0.0,0.0,-0.82,0.10722083427419356,0.32,follow,0
1786515565.3532472,12.011522632692488,0.8790322580645161,6.4952797980550265,0.0,0.0,-0.82,0.10691308870967743,0.32,follow,0
1786515565.4435997,11.859621150537196,0.7157258064516129,6.401586088794606,0.0,0.0,-0.82,0.09860395846774195,0.32,follow,0
1786515565.542858,11.679490400704047,0.8911290322580645,6.138297604352939,0.0,0.0,-0.82,0.10752857983870968,0.32,follow,0
1786515565.635184,11.353401697678274,0.8185483870967742,8.268919003814927,0.0,0.0,-0.82,0.10383563306451615,0.32,follow,0
1786515565.7273986,11.257408613901356,0.8608870967741936,5.664717242712278,0.0,0.0,-0.82,0.10598985201612905,0.32,follow,0
1786515565.8176677,11.20325016906159,0.8548387096774193,7.002007578909193,0.0,0.0,-0.82,0.10568210645161291,0.32,follow,0
1786515565.9009156,11.173114075656876,0.8125,8.362649124699722,0.0,0.0,-0.82,0.10352788750000001,0.32,follow,0
1786515565.9809096,11.332968962777432,0.6491935483870968,6.302429248758273,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515566.0669575,11.522340087669804,0.5040322580645161,0.0,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515566.159726,11.589688468443986,0.872983870967742,6.351792012659068,0.0,0.0,-0.79915008606363,0.102,0.32,follow,0
1786515566.2437778,11.39768002371519,0.842741935483871,7.631372131795537,0.0,0.0,-0.82,0.10506661532258066,0.32,follow,0
1786515566.3293786,11.526762566805825,0.8185483870967742,7.645599304391794,0.0,0.0,-0.82,0.10383563306451615,0.32,follow,0
1786515566.4192212,11.532923657587231,0.8911290322580645,5.794388970812882,0.0,0.0,-0.82,0.10752857983870968,0.32,follow,0
1786515566.4903114,11.487028335986675,0.4495967741935484,0.0,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515566.5643835,11.896659044107217,0.4435483870967742,0.0,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515566.6476576,12.322526970288841,0.655241935483871,6.271524044150709,0.0,0.0,-0.7623151332888715,0.09,0.32,follow,0
1786515566.7365954,12.256666361137704,0.685483870967742,6.008970831033341,0.0,0.0,-0.82,0.09706523064516132,0.32,follow,0
1786515566.8085432,12.046395323705482,0.42140552995391706,34.00897083103334,0.0,0.0,-0.6399999999999999,0.09,0.32,follow,0
1786515566.8975437,12.433264810411705,0.782258064516129,7.391561402114821,0.0,0.0,-0.8199999999999998,0.10198915967741941,0.32,follow,0
1786515566.9824421,12.194560519293452,0.752016129032258,6.775334720037499,0.0,0.0,-0.82,0.10045043185483872,0.32,follow,0
1786515567.0683966,12.093973929573636,0.7641129032258064,7.280705208141921,0.0,0.0,-0.82,0.10106592298387097,0.32,follow,0
1786515567.144703,12.013249778282836,0.5221774193548387,3.0107358245668117,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515567.2313018,12.060497576138593,0.7217741935483871,5.81354371810734,0.0,0.0,-0.8195767356294458,0.09126991740411249,0.32,follow,0
1786515567.3144953,12.110638556471308,0.7036290322580645,4.250443872462622,0.0,0.0,-0.82,0.0979884673387097,0.32,follow,0
1786515567.3971324,12.095316241469996,0.8306451612903225,3.0988848558899136,0.0,0.0,-0.82,0.1044511241935484,0.32,follow,0
1786515567.4806254,12.08467056672591,0.8004032258064516,2.067978108217993,0.0,0.0,-0.82,0.10291239637096776,0.32,follow,0
1786515567.569051,12.063258255348602,0.8306451612903225,3.465069333383836,0.0,0.0,-0.82,0.1044511241935484,0.32,follow,0
1786515567.654433,11.912104179479211,0.842741935483871,2.895346639124284,0.0,0.0,-0.82,0.10506661532258066,0.32,follow,0
1786515567.7414038,11.866302793371622,0.6673387096774193,1.6853381156503744,0.0,0.0,-0.82,0.09614199395161292,0.32,follow,0
1786515567.8331418,11.811567683128676,0.8004032258064516,2.5157435790068883,0.0,0.0,-0.82,0.10291239637096776,0.32,follow,0
1786515567.9215617,11.616653800654698,0.8608870967741936,3.364433973951366,0.0,0.0,-0.82,0.10598985201612905,0.32,follow,0
1786515568.0116134,11.528338016596294,0.8306451612903225,2.6689663365201772,0.0,0.0,-0.82,0.1044511241935484,0.32,follow,0
1786515568.0959113,11.457039060707672,0.6008064516129032,0.0,0.0,0.0,-0.82,0.09,0.32,follow,0
1786515568.1890156,11.565163320623489,0.9455645161290323,28.0,0.0,0.0,-0.6399999999999999,0.102,0.32,follow,0
1786515568.2721958,11.39906160849052,0.685483870967742,5.710425129451281,0.0,0.0,-0.8199999999999998,0.09,0.32,follow,0
1786515568.3785198,11.482788014776897,0.655241935483871,33.71042512945128,0.0,0.0,-0.6399999999999999,0.102,0.32,follow,0
1786515568.4631445,11.091734229033436,0.4433179723502304,61.71042512945128,0.0,0.0,-0.4599999999999999,0.10239181670615062,0.32,follow,0
1786515568.5467286,11.24421379522569,0.5524193548387096,89.71042512945128,0.0,0.0,-0.2799999999999999,0.09,0.32,follow,0
1786515568.6533997,11.354776650968107,0.9455645161290323,117.71042512945128,0.0,0.0,-0.09999999999999992,0.102,0.32,follow,0
1786515568.727304,10.971590088420013,0.42635944700460826,89.71042512945128,0.0,0.0,-0.2799999999999999,0.09,0.32,follow,0
1786515568.817579,11.498639455554851,0.9092741935483871,117.71042512945128,0.0,0.0,-0.09999999999999992,0.102,0.32,follow,0
