timestamp,dt_ms,inference_ms,fps,lane_confidence,target_x,near_x,heading_error,curvature,risk,white_front,raw_steering,filtered_steering,steering,effective_steering,curve_load,throttle,throttle_max,state,armed,competition,green,start_authorized,start_latency_ms
1787279425.5187652,1124.7343379999961,8808.274904000029,0.8890988442463676,0.939516129032258,146.15534213563933,192.15871798032072,-0.6571910834954484,1.0,0.0,0.0,-0.015707069953050545,-0.004712120985915163,-0.004712120985915163,-0.004712120985915163,0.8,0.3,1.0,follow,0,0,0,0,-1.0
1787279425.5907178,8852.527269000006,69.21387399995638,0.7338714938017643,0.939516129032258,146.19050455494985,192.5074968506046,-0.6616713185093537,1.0,0.0,0.0,-0.018999048988112444,-0.008998199386574347,-0.008998199386574347,-0.008998199386574347,0.96,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.6304798,71.43265899998141,32.38872600002196,3.3869369714110977,0.939516129032258,146.3320417228057,192.10722072331484,-0.6539311285787018,1.0,0.0,0.0,-0.017555432992502257,-0.01156536946835272,-0.01156536946835272,-0.01156536946835272,0.992,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.6751173,40.39779700002555,41.777858999978434,7.6603145903763465,0.939516129032258,146.31896373154328,192.22254860363918,-0.6557654981727986,1.0,0.0,0.0,-0.019584106364704895,-0.013970990537258372,-0.013970990537258372,-0.013970990537258372,0.9984,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.7168896,44.00799699999425,39.18648100000155,10.672880231515581,0.939516129032258,146.20529039183413,192.39219456725,-0.6598129167916552,1.0,0.0,0.0,-0.022638282005436106,-0.016571177977711692,-0.016571177977711692,-0.016571177977711692,0.99968,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.766804,41.82676300001731,41.761140000005526,13.319931680505785,0.939516129032258,146.2182470210155,192.30536022384587,-0.6583873314690054,1.0,0.0,0.0,-0.022982290922831106,-0.018494511861247516,-0.018494511861247516,-0.018494511861247516,0.999936,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.8102338,50.495293999972546,40.58393700000806,14.616710480262809,0.939516129032258,146.2475355207231,192.151120392819,-0.6557654981727986,1.0,0.0,0.0,-0.022701581596576093,-0.019756632781846088,-0.019756632781846088,-0.019756632781846088,0.9999872,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.8511195,42.80699299999924,38.4253069999545,16.365502210569026,0.939516129032258,146.3480494386766,192.12322843918574,-0.6539311285787018,1.0,0.0,0.0,-0.022060024655130794,-0.0204476503438315,-0.0204476503438315,-0.0204476503438315,0.99999744,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.8987858,40.87970900002347,40.20233499994674,17.98480450057558,0.939516129032258,146.28811017005327,192.37522337288365,-0.6583873314690054,1.0,0.0,0.0,-0.02426403491084983,-0.021592565713936997,-0.021592565713936997,-0.021592565713936997,0.999999488,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.9432542,48.440411000001404,41.43448399997851,18.516627726590077,0.939516129032258,146.33869143852712,192.29739876977072,-0.6565529618749086,1.0,0.0,0.0,-0.023757878195432874,-0.022242159458385757,-0.022242159458385757,-0.022242159458385757,0.9999998976,0.44,1.0,follow,0,0,0,0,-1.0
1787279425.9867625,43.68576699999949,39.82292000000598,19.39145231424334,0.939516129032258,146.3710881120642,192.3761462053977,-0.65721511561905,1.0,0.0,0.0,-0.024051102574851435,-0.02278484239332546,-0.02278484239332546,-0.02278484239332546,0.99999997952,0.44,1.0,follow,0,0,0,0,-1.0
1787279426.0337913,43.53884500000049,39.01414400002068,20.106760969607336,0.939516129032258,146.29871691746825,192.4321808823886,-0.6590494852131477,1.0,0.0,0.0,-0.025318756566068967,-0.02354501664514851,-0.02354501664514851,-0.02354501664514851,0.999999995904,0.44,1.0,follow,0,0,0,0,-1.0
1787279426.0778124,47.32185299997127,41.50802499998463,20.311785963411833,0.939516129032258,146.20059230801775,192.20396815269913,-0.6571910834954484,1.0,0.0,0.0,-0.025561957358536058,-0.024150098859164772,-0.024150098859164772,-0.024150098859164772,0.9999999991808,0.44,1.0,follow,0,0,0,0,-1.0
1787279426.1199172,43.737953999993806,39.88026199999695,20.822116372898243,0.939516129032258,146.20560056314613,192.29271376597652,-0.6583873314690054,1.0,0.0,0.0,-0.02600711508429629,-0.02470720372670423,-0.02470720372670423,-0.02470720372670423,0.99999999983616,0.44,1.0,follow,0,0,0,0,-1.0
1787279426.1686797,42.05748700002232,40.67539499999384,21.413088968735053,0.939516129032258,146.1383792757481,192.32528345116395,-0.6598129167916552,1.0,0.0,0.0,-0.026967008373871587,-0.025385145120854435,-0.025385145120854435,-0.025385145120854435,0.999999999967232,0.44,1.0,follow,0,0,0,0,-1.0
1787279426.214995,49.15189999996983,42.50695099995028,21.199489870096933,0.939516129032258,146.20126551232173,192.3046518576913,-0.6586198049338512,1.0,0.0,0.0,-0.0262716735430506,-0.02565110364751328,-0.02565110364751328,-0.02565110364751328,0.9999999999934464,0.44,1.0,follow,0,0,0,0,-1.0
