time,fps,latency_ms,lane_conf,target_x,risk,steering,throttle,state
1786525602.6153886,0.053140205518811684,18755.053755999827,0.46391129032258066,177.0,0.511766581632653,0.16,0.012,avoid
1786525602.7075589,10.753092742702524,61.24521000015193,0.5524193548387096,149.0,0.0,0.21146331234676008,0.024,follow
1786525602.79191,11.855072637993361,58.18812200004686,0.5403225806451613,150.64923664220345,0.0,0.3714633123467601,0.036000000000000004,follow
1786525602.8762677,11.864713693668575,58.14905700003692,0.49798387096774194,138.69460355913418,0.0,0.26057447066614103,0.048,follow
1786525602.9599497,11.936494222058553,58.57047899985446,0.4495967741935484,110.69460355913418,0.0,0.10057447066614103,0.06,follow
1786525603.0431767,12.016273639362499,58.17030799994427,0.8064516129032258,123.00513092720597,0.0,0.055401588797450954,0.072,follow
1786525603.1293445,11.604446967985856,59.845056000085606,0.8548387096774193,124.50462567335508,0.0,0.07229497870691735,0.08399999999999999,follow
1786525603.2161736,11.520159593848476,61.56485600013184,0.5887096774193548,127.88444226786633,0.0,0.11564315813749373,0.09599999999999999,follow
1786525603.2864072,14.242349586588523,45.19276099995295,0.9334677419354839,126.64287715899161,0.0,0.09203645564042394,0.10799999999999998,follow
1786525603.3591902,13.664126346173292,47.37585899988517,0.0,130.43462268152837,0.0,0.09203645564042394,0.08299999999999999,slow:lane_dropout
1786525603.4369802,12.94986453468982,46.56853999995292,1.0,126.39309636276643,0.0,0.09278843035131172,0.09499999999999999,follow
1786525603.5092304,13.816133704478863,46.88188399995852,0.594758064516129,129.62110189040555,0.0,0.1562177989778791,0.10699999999999998,follow
1786525603.5834997,13.45059616877183,45.90257800009567,0.5584677419354839,128.6816074179143,0.0,0.17287698356839634,0.09,follow
1786525603.6562817,13.747191431598804,46.5733309999905,1.0,126.39131017140934,0.0,0.14757833438496826,0.09,follow
1786525603.7268667,14.208736628187607,44.50877799990849,0.49193548387096775,154.39131017140934,0.0,0.3075783343849683,0.09,follow
1786525603.796675,14.323922940931597,43.763127000147506,0.7580645161290323,128.1599057359004,0.0,0.14757833438496828,0.102,follow
1786525603.8688402,13.856667710006452,45.64110999990589,0.407258064516129,156.1599057359004,0.0,0.3075783343849683,0.09,follow
1786525603.9369428,14.664147542108873,42.050774000017554,0.8608870967741936,133.1041039534652,0.0,0.14757833438496828,0.10009787153639685,follow
1786525604.0034437,15.020774557343744,40.54743899996538,0.5705645161290323,135.19790036369557,0.0,0.1253618094752507,0.11209787153639685,follow
1786525604.0695574,15.108695049463458,40.19971799993982,0.6068548387096775,134.57084971561957,0.0,0.12307240637830363,0.12409787153639684,follow
1786525604.1350744,15.283011572428128,39.8486110000249,0.6129032258064516,129.1771678243892,0.0,0.039869812650793174,0.09909787153639685,follow
1786525604.2008228,15.212100568839858,39.75287899993418,0.6491935483870968,128.6486891469424,0.0,0.04499477700229994,0.11109787153639684,follow
1786525604.2667902,15.15666704045274,39.841423999860126,0.6068548387096775,129.52284830329842,0.0,0.07335107004392259,0.12309787153639684,follow
1786525604.3365288,14.32256583841236,43.85818300011124,0.6008064516129032,133.20576415849942,0.0,0.14956846135306454,0.0999928060038791,follow
1786525604.4012506,15.449155061768273,39.70459600009235,0.594758064516129,142.60534912766045,0.0,0.30956846135306454,0.09,follow
1786525604.464761,15.745363710710349,37.95062699987284,0.564516129032258,141.48456829351395,0.0,0.3027880667940473,0.09,follow
1786525604.5284593,15.70168482060435,37.506339999936245,0.5524193548387096,152.32765266324978,0.0,0.46278806679404727,0.09,follow
1786525604.59935,14.106324360340608,38.74414599999909,0.5463709677419355,125.2215423606705,0.0,0.30278806679404724,0.102,follow
1786525604.6694846,14.176558833182604,44.328145999998014,0.0,133.61937046102304,0.0,0.30278806679404724,0.07699999999999999,slow:lane_dropout
1786525604.7331996,15.799862759194038,38.14526999985901,0.49193548387096775,184.6521645718991,0.0,0.46278806679404727,0.08899999999999998,follow
1786525604.7978103,15.472486970670058,38.738520000151766,0.4495967741935484,156.6521645718991,0.0,0.30278806679404724,0.09,follow
1786525604.869555,13.961949248390495,46.42072200022085,0.5584677419354839,134.30317044438945,0.0,0.14278806679404724,0.09,follow
1786525604.9342933,15.438247857677688,38.80315699984749,0.8185483870967742,133.31807395983805,0.0,0.049248935191299595,0.102,follow
1786525604.999434,15.327863380933298,38.76279199994315,0.5584677419354839,135.0344438670645,0.0,0.11779173913968938,0.11399999999999999,follow
1786525605.0664737,14.933139704282945,40.96693200017398,0.6008064516129032,137.83012030625105,0.0,0.1747821151341463,0.126,follow
1786525605.1326926,15.095900937555298,39.77465000002667,0.6008064516129032,131.51692639166055,0.0,0.07138646471986183,0.101,follow
1786525605.1962957,15.713263364425666,37.879009999869595,0.655241935483871,130.08287510649905,0.0,0.05879716392968687,0.09,follow
