timestamp,fps,lane_confidence,target_x,risk,steering,throttle,state,armed
1786509119.4034293,0.6769422185578892,0.0,0.0,0.0,-0.16,-0.11,reverse:white,0
1786509119.6184194,0.5484839790964747,0.0,0.0,0.0,-0.32,0.11,avoid:white,0
1786509119.688992,2.183259769554208,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509119.7750201,4.5742789472545065,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509119.8566422,5.988968599777662,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509119.9398596,7.230048743960296,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.0032246,8.190217638434335,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.0739346,9.701315626428089,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.1468992,10.608559962539111,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.2094958,11.225908293204123,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.2732499,12.162350744546785,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.3394756,12.831514340889303,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.4156938,13.254392252439029,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.4793487,13.274806720550618,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.5508611,13.675553564621165,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.6188192,13.823108044010265,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.6833522,13.990900550560575,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.759303,14.306413647385197,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.823169,14.07334267644855,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.8867733,14.337690949511266,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509120.9762392,14.039192359095814,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.0425503,13.880809548656238,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.1109142,14.168469812235594,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.1758466,14.273826781458276,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.2468724,14.490738550125524,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.3142881,14.414101563841314,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.378071,14.497890550444758,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.4426923,14.65990438366375,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.5157347,14.906226882505962,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.5886528,14.65418346893069,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.6556573,14.460039235176659,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.7234974,14.564917773039719,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.7971997,14.546614168645991,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.8635676,14.404668578733602,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509121.9333317,14.446669128884464,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.0008483,14.512372287752141,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.0748527,14.556684896697101,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.1424026,14.341325940066394,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.2124634,14.450421260042999,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.279881,14.411231193840997,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.3489776,14.472027401129862,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.4171143,14.450420545595616,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.4822721,14.503142096210954,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.5484889,14.650922546996673,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
1786509122.6140969,14.814290768992084,0.0,0.0,0.0,-0.34,0.11,avoid:white,0
