timestamp,fps,lane_confidence,target_x,risk,steering,throttle,throttle_max,state,armed
1786513819.069786,0.022107265013536548,0.0,170.64529138707613,0.0,-0.24,-0.11,0.31999999999999995,reverse:white,0
1786513819.289947,0.02344042065906223,0.0,156.2867277072296,0.0,-0.44,0.11999999999999997,0.31999999999999995,avoid:white,0
1786513819.420392,1.2936409998565574,0.0,162.81367389772373,0.0,-0.44,0.11999999999999997,0.31999999999999995,avoid:white,0
1786513819.5165937,2.570184256843845,0.0,155.1801855802448,0.0,-0.44,0.11999999999999997,0.31999999999999995,avoid:white,0
1786513819.6172323,4.144219008279304,0.0,166.44215742328964,0.0,-0.44,0.11999999999999997,0.31999999999999995,avoid:white,0
1786513819.710196,5.302414721523053,0.0,172.1329005423297,0.0,-0.44,0.08499999999999996,0.31999999999999995,wait:lane_lock,0
1786513819.8039436,6.3928888713950105,0.0,160.12923661704224,0.0,-0.44,0.04999999999999996,0.31999999999999995,wait:lane_lock,0
1786513819.885872,7.224193297949805,0.0,156.8123042050567,0.0,-0.44,0.014999999999999958,0.31999999999999995,wait:lane_lock,0
1786513819.965896,8.267746229394549,0.0,185.80994615141265,0.0,-0.26,0.0,0.31999999999999995,stop:lane_lost,0
1786513820.0491843,9.096187043145562,0.0,155.0241228070259,0.0,-0.08000000000000002,0.0,0.31999999999999995,stop:lane_lost,0
1786513820.1342661,9.691470087261909,0.0,158.71709298740095,0.0,-0.32,-0.11,0.31999999999999995,reverse:white,0
1786513820.2087884,10.071717188098134,0.0,164.50883195974612,0.0,-0.44,-0.11,0.31999999999999995,reverse:white,0
1786513820.2869372,10.787944585310182,0.0,161.21528403345923,0.0,-0.44,-0.11,0.31999999999999995,reverse:white,0
1786513820.365558,11.172685653166367,0.0,171.54559089377162,0.0,-0.44,-0.11,0.31999999999999995,reverse:white,0
1786513820.4574313,11.480645113596363,0.0,154.37152391021127,0.0,-0.44,0.11999999999999997,0.31999999999999995,avoid:white,0
