timestamp,dt_ms,inference_ms,fps,lane_confidence,target_x,near_x,heading_error,curvature,risk,white_front,raw_steering,filtered_steering,steering,effective_steering,curve_load,throttle,throttle_max,state,armed,competition,green,start_authorized,start_latency_ms
1787282225.7566986,1628.569830999993,8703.098496999984,0.6140356900667677,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282225.8179777,8730.307393000005,58.5811969999952,0.5141372528581947,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282225.855661,60.50521800000297,30.08391000000188,3.716809833705171,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282225.889424,37.94395200000622,31.91407600002094,8.244380109340135,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282225.9229999,33.69049199997676,31.88048199999116,12.531897061493918,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282225.9678748,33.369761000017206,35.72039899998458,16.018967827034196,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.0058227,45.469357000001764,35.80284700001357,17.21374097107065,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.0413716,37.343583999984276,34.05158600000391,19.126665119395582,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.0800614,35.537011000002394,31.33198800000514,20.929267433127908,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.112878,38.84364300000698,30.957872000016096,21.89226159706806,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.1436338,32.85996599998953,28.933799000014915,23.600242842438533,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.1820548,30.74714200002404,29.951304000007895,25.38486387868494,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
1787282226.2141166,38.54561999997941,29.92614799998705,25.496548076168434,0.0,112.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,stop:lane_lost,0,0,0,0,-1.0
