epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,111.166,0.5966,0.69694,0.00407,0.79287,0.84561,0.8567,0.79537,0.41072,0.6648,0.00401,0.000410357,0.000410357,0.000410357
43,113.79,0.61962,0.68143,0.00453,0.7698,0.88555,0.85804,0.8057,0.37796,0.66362,0.00334,0.000400048,0.000400048,0.000400048
44,116.447,0.5922,0.68496,0.00402,0.773,0.8795,0.86222,0.79148,0.45782,0.655,0.00447,0.00038974,0.00038974,0.00038974
45,119.098,0.6054,0.68642,0.00431,0.74187,0.91326,0.85376,0.77016,0.48594,0.65976,0.00514,0.000379431,0.000379431,0.000379431
46,121.693,0.61401,0.67365,0.00413,0.75291,0.88653,0.85314,0.79423,0.40942,0.64546,0.00412,0.000369123,0.000369123,0.000369123
47,124.291,0.61334,0.68853,0.00413,0.76796,0.84391,0.85316,0.80227,0.38439,0.62804,0.00354,0.000358815,0.000358815,0.000358815
48,126.96,0.57527,0.63971,0.00383,0.7465,0.87903,0.84487,0.79951,0.38411,0.62549,0.00354,0.000348506,0.000348506,0.000348506
49,129.53,0.62422,0.66901,0.00414,0.75935,0.87798,0.84567,0.76836,0.48062,0.63973,0.00412,0.000338198,0.000338198,0.000338198
50,132.155,0.60086,0.64044,0.00392,0.78611,0.88632,0.84682,0.79861,0.38124,0.62409,0.00353,0.00032789,0.00032789,0.00032789
51,134.792,0.56737,0.62233,0.0037,0.76779,0.88396,0.86207,0.81399,0.37488,0.59381,0.00355,0.000317581,0.000317581,0.000317581
52,137.461,0.57205,0.65793,0.00406,0.77397,0.88634,0.85844,0.81364,0.35568,0.59282,0.00323,0.000307273,0.000307273,0.000307273
53,140.052,0.5605,0.62739,0.00359,0.76689,0.86931,0.85503,0.79695,0.41819,0.5917,0.00328,0.000296964,0.000296964,0.000296964
54,142.671,0.56806,0.61735,0.00378,0.78235,0.91538,0.86057,0.80519,0.40918,0.58826,0.00435,0.000286656,0.000286656,0.000286656
55,145.287,0.55402,0.63307,0.00383,0.7602,0.89429,0.86062,0.81473,0.36509,0.57468,0.0033,0.000276348,0.000276348,0.000276348
56,147.924,0.53998,0.60515,0.00338,0.74438,0.93681,0.86947,0.81149,0.40679,0.57804,0.00361,0.000266039,0.000266039,0.000266039
57,150.566,0.56841,0.60691,0.00384,0.76304,0.937,0.8689,0.82317,0.37576,0.53803,0.00328,0.000255731,0.000255731,0.000255731
58,153.219,0.5678,0.5953,0.00363,0.78235,0.87583,0.86427,0.80119,0.41678,0.56156,0.0036,0.000245423,0.000245423,0.000245423
59,155.804,0.54188,0.59843,0.00349,0.79982,0.87767,0.86582,0.81624,0.3729,0.55484,0.00342,0.000235114,0.000235114,0.000235114
60,158.471,0.56804,0.5972,0.00364,0.76873,0.90498,0.86531,0.82476,0.34626,0.55266,0.00292,0.000224806,0.000224806,0.000224806
61,161.059,0.5717,0.6003,0.00365,0.76416,0.89821,0.86078,0.81102,0.36672,0.54561,0.00353,0.000214497,0.000214497,0.000214497
62,163.689,0.54395,0.59455,0.00364,0.76023,0.89797,0.86042,0.81581,0.35037,0.54349,0.00321,0.000204189,0.000204189,0.000204189
63,166.317,0.52809,0.57708,0.00341,0.79629,0.88034,0.864,0.79709,0.42848,0.5432,0.00383,0.000193881,0.000193881,0.000193881
64,168.966,0.52853,0.57744,0.00331,0.78442,0.90724,0.86345,0.81555,0.36381,0.53563,0.00342,0.000183572,0.000183572,0.000183572
65,171.562,0.52761,0.57857,0.0033,0.80111,0.88287,0.86252,0.82383,0.33074,0.51929,0.00292,0.000173264,0.000173264,0.000173264
66,174.172,0.52246,0.55731,0.00336,0.76918,0.9262,0.86297,0.82023,0.34713,0.51333,0.00316,0.000162956,0.000162956,0.000162956
67,176.757,0.52713,0.58687,0.0033,0.80411,0.89484,0.8654,0.81968,0.35814,0.52435,0.00317,0.000152647,0.000152647,0.000152647
68,179.416,0.52303,0.59795,0.00346,0.78312,0.90166,0.86353,0.82256,0.32505,0.51214,0.00313,0.000142339,0.000142339,0.000142339
69,182.038,0.54176,0.60321,0.00346,0.77368,0.87639,0.86718,0.82774,0.32756,0.50951,0.00307,0.000132031,0.000132031,0.000132031
70,184.686,0.53039,0.56914,0.00334,0.80324,0.86472,0.87197,0.82517,0.35089,0.50294,0.00305,0.000121722,0.000121722,0.000121722
71,187.19,0.46095,0.54711,0.00493,0.80546,0.8915,0.86697,0.81673,0.36821,0.51347,0.00451,0.000111414,0.000111414,0.000111414
72,189.664,0.46945,0.55832,0.00523,0.79231,0.89612,0.86937,0.81948,0.37084,0.51579,0.00371,0.000101105,0.000101105,0.000101105
73,192.019,0.43586,0.54799,0.00411,0.80883,0.87146,0.86869,0.83014,0.33357,0.50716,0.00318,9.0797e-05,9.0797e-05,9.0797e-05
74,194.446,0.43462,0.55185,0.0043,0.78076,0.91903,0.86687,0.82762,0.33905,0.50316,0.00298,8.04886e-05,8.04886e-05,8.04886e-05
75,196.913,0.4183,0.52359,0.00443,0.7733,0.9063,0.86585,0.82683,0.32751,0.50131,0.003,7.01802e-05,7.01802e-05,7.01802e-05
76,199.362,0.41881,0.52865,0.00375,0.77525,0.91693,0.86296,0.82559,0.32909,0.50437,0.00291,5.98719e-05,5.98719e-05,5.98719e-05
77,201.766,0.4177,0.52484,0.00407,0.77024,0.88964,0.86313,0.82585,0.31953,0.4988,0.0029,4.95635e-05,4.95635e-05,4.95635e-05
78,204.191,0.40187,0.5215,0.00384,0.7713,0.89033,0.86268,0.82293,0.32625,0.49888,0.0028,3.92551e-05,3.92551e-05,3.92551e-05
79,206.58,0.42534,0.53366,0.00408,0.76817,0.90418,0.86468,0.82731,0.31334,0.4947,0.00288,2.89468e-05,2.89468e-05,2.89468e-05
80,209.068,0.41268,0.51703,0.00394,0.77024,0.88881,0.86426,0.82719,0.30765,0.49555,0.00279,1.86384e-05,1.86384e-05,1.86384e-05
